任务组,服务区,架次,箱数,质量_kg,运输能耗_kWh,中继能耗_kWh,作业时长_s
1,S003、S006、S007、S014、S015,8,25,235.0,27.125004495468502,4.450425272987394,16590.395191185264
2,S001、S005、S009、S010、S011、S012、S013,12,36,338.0,25.705424713207996,2.1779433648123803,18520.689123551478
3,S002、S004、S008,9,19,185.0,29.94608490701519,6.259297546766698,17540.043562157254
