route_id,relay_id,battery_id,start,service_start,service_end,end,energy_kWh,delay_s,transport_start,transport_end
R007,无需中继,无需中继,0.0,0.0,2415.0589732457174,2415.0589732457174,0.0,0.0,,
R027,R01,R-电池01,0.0,1172.881876570854,3157.462948603432,4330.344825174286,0.7215460914383338,60.68314853394463,1202.881876570854,3127.462948603432
R006,R02,R-电池02,0.0,1223.8118580683347,3390.516282919186,4614.328140987521,0.7515551997170261,30.49047963776593,1253.8118580683347,3360.516282919186
R001,无需中继,无需中继,2106.7044248508514,2106.7044248508514,3619.44577986189,3619.44577986189,0.0,0.0,,
R002,无需中继,无需中继,2415.0589732457174,2415.0589732457174,3861.800328256756,3861.800328256756,0.0,0.0,,
R029,R01,R-电池03,4630.344825174285,5729.762437042822,7659.148202743553,8758.56581461209,0.6753771904664626,224.42435941939402,5759.762437042822,7629.148202743553
R026,R02,R-电池04,4914.328140987521,5839.492918184649,7450.0058531130235,8375.170630310151,0.5684777798537898,149.22260234180612,5869.492918184649,7420.0058531130235
R017,无需中继,无需中继,6917.881659636339,6917.881659636339,8656.536421656434,8656.536421656434,0.0,0.0,,
R005,无需中继,无需中继,7426.106483225792,7426.106483225792,8997.373126400122,8997.373126400122,0.0,0.0,,
R003,无需中继,无需中继,9160.858401363812,9160.858401363812,10865.634500409722,10865.634500409722,0.0,0.0,,
R028,R02,R-电池05,8675.170630310151,9580.036180648258,11149.950661858587,12054.816212196694,0.5560726967732763,349.0392218076886,9610.036180648258,11119.950661858587
R004,无需中继,无需中继,9291.076237184689,9291.076237184689,10395.187722607508,10395.187722607508,0.0,0.0,,
R020,无需中继,无需中继,9407.793439006176,9407.793439006176,10554.848908100435,10554.848908100435,0.0,0.0,,
R022,R01,R-电池06,9058.56581461209,10263.736557306373,12355.363703916579,13560.534446610862,0.7406883382036136,431.83959116007827,10293.736557306373,12325.363703916579
R018,无需中继,无需中继,11910.945652358843,11910.945652358843,13361.550149893264,13361.550149893264,0.0,0.0,,
R023,R02,R-电池01,12354.816212196694,13561.285469240784,15581.202690014296,16787.671947058385,0.7425139157859435,503.97489284398034,13591.285469240784,15551.202690014296
R011,R01,R-电池02,13860.534446610862,15412.505675327699,17999.956872530704,19551.92810124754,0.9547207220894193,641.292438643939,15442.505675327699,17969.956872530704
R019,无需中继,无需中继,15232.998834378312,15232.998834378312,16683.60333191273,16683.60333191273,0.0,0.0,,
R010,R02,R-电池04,17087.671947058385,18530.315738741774,20959.611876008876,22402.255667692265,0.8870692353727151,650.2157831117438,18560.315738741774,20929.611876008876
R013,R01,R-电池03,19851.92810124754,21001.6820164483,22933.130700933347,24082.884616134106,0.707507843723377,800.6010710095397,21031.6820164483,22903.130700933347
R014,R02,R-电池05,22702.25566769226,23882.00958289302,25873.458267378068,27053.212182578827,0.7258411770567101,807.3089330137409,23912.00958289302,25843.458267378068
R012,R01,R-电池06,24382.884616134106,26028.511532405893,28803.2741047188,30448.901020990586,1.0119547533729991,959.9097033751423,26058.511532405893,28773.2741047188
R025,R02,R-电池01,27353.212182578827,28271.27131889703,29887.45125952315,30805.510395841353,0.5638593564353411,963.1577199564708,28301.27131889703,29857.45125952315
R021,R01,R-电池02,30748.901020990586,31638.562311215832,33214.320240967165,34103.98153119241,0.5462777049158789,754.9665031270924,31668.562311215832,33184.320240967165
R016,R02,R-电池04,31105.510395841353,32603.629812610616,35231.80950023267,36729.92891700194,0.9203978724596857,1475.8277105915076,32633.629812610616,35201.80950023267
R008,R01,R-电池03,34403.98153119241,35422.18591550586,37177.67539284695,38195.8797771604,0.625906187977931,832.2393081144328,35452.18591550586,37147.67539284695
R024,R02,R-电池05,37029.92891700194,38176.39817404603,40076.31539481954,41222.78465186363,0.7058472491192769,1573.401359499112,38206.39817404603,40046.31539481954
R015,R01,R-电池06,38495.8797771604,39645.63369236116,41577.08237684621,42726.836292046966,0.707507843723377,916.942742023115,39675.63369236116,41547.08237684621
R009,R02,R-电池01,41522.78465186363,42540.98903617708,44296.47851351817,45314.68289783162,0.625906187977931,1647.2525337735642,42570.98903617708,44266.47851351817
