货箱编号,服务区编号,物资类型,期望送达时间_s,硬约束时限_s,实际送达时刻_s,是否硬约束超时
S001-MED-01,S001,医疗物资,3600,3600.0,3240.6146507512367,False
S001-MED-02,S001,医疗物资,3600,3600.0,3240.6146507512367,False
S001-WAT-01,S001,饮用水,3600,3600.0,2494.564841745476,False
S001-WAT-02,S001,饮用水,3600,,7253.843593102263,False
S001-WAT-03,S001,饮用水,3600,,7691.433024363183,False
S001-WAT-04,S001,饮用水,3600,,8057.717611250283,False
S001-WAT-05,S001,饮用水,3600,,7253.843593102263,False
S001-WAT-06,S001,饮用水,3600,,8843.39447734988,False
S001-WAT-07,S001,饮用水,3600,,3240.6146507512367,False
S001-WAT-08,S001,饮用水,3600,,3240.6146507512367,False
S001-FOD-01,S001,应急食品,7200,,9947.505962772702,False
S001-FOD-02,S001,应急食品,7200,,7253.843593102263,False
S001-FOD-03,S001,应急食品,7200,,3240.6146507512367,False
S001-HYG-01,S001,生活卫生用品,10800,,3240.6146507512367,False
S001-HYG-02,S001,生活卫生用品,10800,,3240.6146507512367,False
S002-MED-01,S002,医疗物资,3600,3600.0,3268.6453691930465,False
S002-WAT-01,S002,饮用水,3600,3600.0,3268.6453691930465,False
S002-WAT-02,S002,饮用水,3600,,3268.6453691930465,False
S002-WAT-03,S002,饮用水,3600,,11346.867099104284,False
S002-WAT-04,S002,饮用水,3600,,3268.6453691930465,False
S002-FOD-01,S002,应急食品,7200,,10244.424469362657,False
S002-FOD-02,S002,应急食品,7200,,3268.6453691930465,False
S002-HYG-01,S002,生活卫生用品,10800,,3268.6453691930465,False
S003-MED-01,S003,医疗物资,7200,7200.0,4510.868031066824,False
S003-WAT-01,S003,饮用水,7200,7200.0,5308.099846963193,False
S003-WAT-02,S003,饮用水,7200,,5308.099846963193,False
S003-WAT-03,S003,饮用水,7200,,14709.776974655588,False
S003-WAT-04,S003,饮用水,7200,,5308.099846963193,False
S003-FOD-01,S003,应急食品,10800,,14858.790124668292,False
S003-FOD-02,S003,应急食品,10800,,5308.099846963193,False
S003-HYG-01,S003,生活卫生用品,14400,,5308.099846963193,False
S004-MED-01,S004,医疗物资,7200,7200.0,4891.86930171528,False
S004-WAT-01,S004,饮用水,7200,7200.0,5555.668238288754,False
S004-WAT-02,S004,饮用水,7200,,5555.668238288754,False
S004-WAT-03,S004,饮用水,7200,,5555.668238288754,False
S004-FOD-01,S004,应急食品,10800,,5555.668238288754,False
S004-HYG-01,S004,生活卫生用品,14400,,5555.668238288754,False
S005-MED-01,S005,医疗物资,10800,10800.0,7644.552084632833,False
S005-WAT-01,S005,饮用水,10800,10800.0,7644.552084632833,False
S005-WAT-02,S005,饮用水,10800,,7644.552084632833,False
S005-WAT-03,S005,饮用水,10800,,7644.552084632833,False
S005-FOD-01,S005,应急食品,14400,,7644.552084632833,False
S005-HYG-01,S005,生活卫生用品,18000,,16568.73975237179,False
S006-MED-01,S006,医疗物资,3600,3600.0,843.3140411063742,False
S006-WAT-01,S006,饮用水,3600,3600.0,843.3140411063742,False
S006-WAT-02,S006,饮用水,3600,,6510.46114064665,False
S006-WAT-03,S006,饮用水,3600,,9395.193925438229,False
S006-FOD-01,S006,应急食品,7200,,6510.46114064665,False
S006-HYG-01,S006,生活卫生用品,10800,,12764.962905655288,False
S007-MED-01,S007,医疗物资,3600,3600.0,1495.4944791952441,False
S007-WAT-01,S007,饮用水,3600,3600.0,1495.4944791952441,False
S007-WAT-02,S007,饮用水,3600,,1495.4944791952441,False
S007-FOD-01,S007,应急食品,7200,,1495.4944791952441,False
S007-HYG-01,S007,生活卫生用品,10800,,1495.4944791952441,False
S008-MED-01,S008,医疗物资,7200,7200.0,2974.7663490860004,False
S008-WAT-01,S008,饮用水,7200,7200.0,2974.7663490860004,False
S008-WAT-02,S008,饮用水,7200,,10920.143603705448,False
S008-FOD-01,S008,应急食品,10800,,2974.7663490860004,False
S008-HYG-01,S008,生活卫生用品,14400,,10920.143603705448,False
S009-MED-01,S009,医疗物资,10800,10800.0,9748.59002842315,False
S009-WAT-01,S009,饮用水,10800,10800.0,9748.59002842315,False
S009-FOD-01,S009,应急食品,14400,,9748.59002842315,False
S010-MED-01,S010,医疗物资,3600,3600.0,1422.2773731006343,False
S010-WAT-01,S010,饮用水,3600,3600.0,1422.2773731006343,False
S010-FOD-01,S010,应急食品,7200,,12582.668681556392,False
S011-MED-01,S011,医疗物资,10800,10800.0,7770.843364707369,False
S011-WAT-01,S011,饮用水,10800,10800.0,7770.843364707369,False
S011-FOD-01,S011,应急食品,14400,,7770.843364707369,False
S012-MED-01,S012,医疗物资,7200,3600.0,1032.2205360162889,False
S012-WAT-01,S012,饮用水,3600,3600.0,1032.2205360162889,False
S012-FOD-01,S012,应急食品,7200,,1032.2205360162889,False
S013-MED-01,S013,医疗物资,3600,3600.0,905.3375445602431,False
S013-WAT-01,S013,饮用水,3600,3600.0,905.3375445602431,False
S013-FOD-01,S013,应急食品,7200,,905.3375445602431,False
S014-MED-01,S014,医疗物资,7200,3600.0,1002.2495495170322,False
S014-WAT-01,S014,饮用水,3600,3600.0,1002.2495495170322,False
S014-FOD-01,S014,应急食品,7200,,1002.2495495170322,False
S015-MED-01,S015,医疗物资,7200,7200.0,6369.828512983308,False
S015-WAT-01,S015,饮用水,10800,10800.0,6369.828512983308,False
S015-FOD-01,S015,应急食品,14400,,16538.73745657207,False
