sortie_id,option_id,candidate_id,relay_id,energy_component_id,demand_ids,service_start_s,service_end_s,launch_start_s,relay_ready_s,return_end_s,resource_end_s,charge_start_s,charge_end_s,energy_kwh,soc_after
RS-001,SO-00595,P0113,R02,EC-01,"[""D-T022-01"", ""D-T018-01"", ""D-T023-01"", ""D-T021-01""]",1344.4939412434896,3872.466705146261,716.2567466596929,1344.4939412434896,4337.52943175317,4637.52943175317,4637.52943175317,5543.706240996155,0.9998198381365796,0.6875563005823189
RS-002,SO-00228,P0045,R01,EC-02,"[""D-T004-01"", ""D-T014-01""]",2150.5149475097655,2999.079410648509,1519.346301888469,2150.5149475097655,3459.961306493601,3759.961306493601,3759.961306493601,4460.888049369499,0.49458890554067014,0.8454409670185405
RS-003,SO-00478,P0088,R01,EC-04,"[""D-T008-01"", ""D-T015-01""]",4746.837111409505,5864.34501329219,3959.4807971447954,4746.837111409505,6473.551047303807,6773.551047303807,6773.551047303807,7551.117408976064,0.6832402748855564,0.7864874140982636
RS-004,SO-00102,P0027,R02,EC-05,"[""D-T006-01"", ""D-T010-01"", ""D-T024-01"", ""D-T016-01"", ""D-T007-01""]",5782.09105834961,12637.97974185995,5053.265097528441,5782.09105834961,13211.471393802538,13511.471393802538,13511.471393802538,14978.279716603172,2.379835871509255,0.2563012901533579
RS-005,SO-00487,P0088,R02,EC-06,"[""D-T020-01"", ""D-T017-01"", ""D-T005-01"", ""D-T009-01""]",15069.600309010106,20647.050504067287,14282.243994745397,15069.600309010106,21256.256538078906,21556.256538078906,21556.256538078906,22887.44420871293,2.0460004200222084,0.3606248687430599
RS-006,SO-00068,P0024,R01,EC-01,"[""D-T025-01"", ""D-T011-01""]",18752.091058349608,23377.470514035485,18118.310975507982,18752.091058349608,23847.775014499995,24147.775014499995,24147.775014499995,25315.849678833205,1.6444914814355938,0.486096412051377
