candidate_id,parent_id,stage,operator,state_signature,transport_status,relay_decoder_status,relay_baseline_status,joint_status,WTD,transport_Cmax_s,transport_energy_kwh,transport_n_trips,blind_count,relay_sorties,relay_energy_kwh,joint_Cmax_s,total_energy_kwh,failure_reason,runtime_s
C2B-COMB-02,Q2-FORMAL,C2-B,combination_T015-C+T016-C,6d642abf871850a9f7761c4f22a6f90adc5f24f827b0ff1f6d1028313941781d,PASS,PASS,FEASIBLE,PASS,2937216.165255878,23738.870393305344,73.90733319629214,25.0,19,6,8.272833382812461,24147.775014499995,82.18016657910461,,110.97199640001054
C2B-COMB-04,Q2-FORMAL,C2-B,combination_T009-B+T015-C,e0df182e457e2ffd8080bd2dff869b38a2d76163e5dd28e6c389e6b321801e07,FAIL,,,UNRESOLVED,2916707.2524535167,23738.870393305344,70.15123076167367,25.0,,,,23738.870393305344,70.15123076167367,mass_pass;volume_pass;route_energy_recomputed,0.011354499991284683
