f1_及时性,f2_makespan_s,f3_总能耗_kWh,f4_架次数,违反量
1683587.7931142512,26151.177952865964,99.95853108375456,39.0,0.0
1820314.159984435,25001.056035274323,103.75108169846524,41.0,0.0
1751852.2733828952,25226.34871201451,102.52708479601897,41.0,0.0
2009068.4631514756,27007.38612216689,97.86673264768996,39.0,0.0
1839425.0862142984,25182.95907409921,100.90283145402981,38.0,0.0
1952312.8705141002,26578.490104910838,99.67595155543557,40.0,0.0
