路线编号,机型编号,停靠序列,箱数,总质量_kg,总体积_m3,路线能耗_kWh,路线时间_s,货箱列表
P22-R001,C,O01->S001->O01,5,56,0.14400000000000002,2.4091087492118612,1446.7413550110386,S001-WAT-02|S001-WAT-03|S001-WAT-07|S001-FOD-03|S001-HYG-01
P22-R002,C,O01->S013->S012->S001->O01,6,45,0.118,5.487922807533604,2821.5050068554647,S001-MED-01|S001-MED-02|S012-WAT-01|S013-WAT-01|S013-FOD-01|S013-MED-01
P22-R003,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,S001-WAT-01
P22-R004,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,S001-WAT-04
P22-R005,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,S001-WAT-05
P22-R006,C,O01->S001->S011->O01,5,52,0.138,3.081145276920161,1836.7760990459105,S001-WAT-06|S001-FOD-01|S001-FOD-02|S011-WAT-01|S011-FOD-01
P22-R007,B,O01->S001->O01,1,14,0.027,1.0112049393210358,1104.1114854228224,S001-WAT-08
P22-R008,B,O01->S001->O01,1,6,0.035,0.9549187837421493,1104.1114854228224,S001-HYG-02
P22-R009,C,O01->S002->O01,4,45,0.093,5.325046837248699,1974.7044248508514,S002-WAT-01|S002-WAT-03|S002-WAT-04|S002-MED-01
P22-R010,C,O01->S009->S002->O01,3,31,0.066,4.9598403916557725,2162.697074524347,S002-WAT-02|S009-WAT-01|S009-MED-01
P22-R011,B,O01->S002->O01,1,8,0.028,2.2524784897371033,1695.4894773410856,S002-FOD-01
P22-R012,B,O01->S002->O01,1,8,0.028,2.2524784897371033,1695.4894773410856,S002-FOD-02
P22-R013,B,O01->S006->S002->O01,2,14,0.063,3.061156281595469,2335.832082456704,S002-HYG-01|S006-FOD-01
P22-R014,C,O01->S003->O01,3,31,0.066,5.023928662603053,2237.2961372671016,S003-WAT-01|S003-WAT-02|S003-MED-01
P22-R015,B,O01->S006->S003->O01,2,20,0.062,2.658795471840023,2329.2402060946197,S003-WAT-03|S006-HYG-01
P22-R016,C,O01->S007->S015->O01,3,28,0.09,4.340183416229928,2274.57883931854,S007-FOD-01|S007-HYG-01|S015-WAT-01
P22-R017,B,O01->S003->O01,1,14,0.027,2.4220916211692547,1959.7280912059034,S003-WAT-04
P22-R018,B,O01->S003->O01,1,8,0.028,2.313205415506137,1959.7280912059034,S003-FOD-01
P22-R019,B,O01->S015->S003->O01,2,11,0.04,2.5669552949535204,2276.262423602746,S003-FOD-02|S015-MED-01
P22-R020,B,O01->S003->O01,1,6,0.035,2.286225150810986,1959.7280912059034,S003-HYG-01
P22-R021,C,O01->S004->O01,4,37,0.101,5.3814941203751765,2181.5191292278855,S004-WAT-02|S004-WAT-03|S004-HYG-01|S004-MED-01
P22-R022,B,O01->S004->O01,1,14,0.027,2.501148786933749,1871.4486844850467,S004-WAT-01
P22-R023,B,O01->S004->O01,1,8,0.028,2.3897422179210115,1871.4486844850467,S004-FOD-01
P22-R024,C,O01->S005->O01,4,37,0.101,3.687395997735556,1738.6547620200963,S005-WAT-01|S005-WAT-03|S005-HYG-01|S005-MED-01
P22-R025,B,O01->S005->O01,1,14,0.027,1.715184424830449,1450.6044975344194,S005-WAT-02
P22-R026,B,O01->S005->O01,1,8,0.028,1.6388115556324068,1450.6044975344194,S005-FOD-01
P22-R027,C,O01->S006->O01,4,45,0.093,2.364888662219041,1429.3380822127483,S006-WAT-01|S006-WAT-02|S006-WAT-03|S006-MED-01
P22-R028,B,O01->S007->S015->O01,3,25,0.067,2.3495771522413094,2091.627146610206,S007-WAT-01|S007-MED-01|S015-FOD-01
P22-R029,B,O01->S007->O01,1,14,0.027,1.5518249989923105,1515.7579297513366,S007-WAT-02
P22-R030,B,O01->S008->O01,1,3,0.012,2.408134168809249,1839.9172207735123,S008-MED-01
P22-R031,B,O01->S008->O01,2,20,0.062,2.7586093422163795,1899.9172207735123,S008-WAT-01|S008-HYG-01
P22-R032,B,O01->S008->O01,1,14,0.027,2.584819253035307,1839.9172207735123,S008-WAT-02
P22-R033,B,O01->S008->O01,1,8,0.028,2.4691988187689526,1839.9172207735123,S008-FOD-01
P22-R034,B,O01->S009->O01,1,8,0.028,1.7393054954108278,1436.17994062612,S009-FOD-01
P22-R035,C,O01->S010->S014->O01,6,50,0.134,4.534464139619524,2511.2017342243153,S010-WAT-01|S010-FOD-01|S010-MED-01|S014-WAT-01|S014-FOD-01|S014-MED-01
P22-R036,B,O01->S011->O01,1,3,0.012,0.8690430048429412,1064.8516233568985,S011-MED-01
P22-R037,B,O01->S012->O01,1,3,0.012,2.2308991720496634,1804.5810720325776,S012-MED-01
P22-R038,B,O01->S012->O01,1,8,0.028,2.287989244616983,1804.5810720325776,S012-FOD-01
