group_count,solution_id,state_signature,total_resource_units,total_shortage_units,imbalance_ratio,max_group_workload_s,group_workload_range_s,service_area_groups,shortages
2,Q4-2G-00003,9fbded1bd206f1ff943bfd4a21646a3519b84d910b8253162eede40c0e829e21,33,3,12.276880238324553,63299.55921087558,58143.562086029946,"[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S010"", ""S011"", ""S013"", ""S014"", ""S015""], [""S012""]]","{""transport_uavs_by_type:A"": 0, ""transport_uavs_by_type:B"": 1, ""transport_uavs_by_type:C"": 0, ""batteries_by_type:A"": 0, ""batteries_by_type:B"": 1, ""batteries_by_type:C"": 0, ""relay_uavs_by_type:R"": 1, ""relay_energy_by_type:R"": 0}"
3,Q4-3G-00001,45e16b95098ec0b0048365858c4b90979fd6cec5dc2b5216d4ba26fb1b74a0c9,37,7,12.12003525102563,61820.17243769986,56719.51297943067,"[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S010"", ""S011"", ""S013"", ""S015""], [""S012""], [""S014""]]","{""transport_uavs_by_type:A"": 0, ""transport_uavs_by_type:B"": 2, ""transport_uavs_by_type:C"": 0, ""batteries_by_type:A"": 0, ""batteries_by_type:B"": 2, ""batteries_by_type:C"": 0, ""relay_uavs_by_type:R"": 2, ""relay_energy_by_type:R"": 1}"
