全局方案编号,架次数N,总能耗E_kWh,累计时间T_s,Chebyshev偏离度,局部方案组合,候选编号列表
1,18,59.07204093455275,32801.7341575961,0.3333333333333333,S001:1;S002:1;S003:1;S004:1;S005:1;S006:1;S007:1;S008:1;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1,3934|16716|18394|18507|18707|18831|19064|19165|19266|19325|19384|19397|19417|19437|19457|19477|19497|19517
2,19,58.97491984334837,34463.78160094448,0.3333333333333333,S001:1;S002:1;S003:1;S004:1;S005:1;S006:1;S007:1;S008:2;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1,3934|16716|18394|18507|18707|18831|19064|19165|19266|19325|19341|19353|19397|19417|19437|19457|19477|19497|19517
