架次编号,路线编号,候选排名,中继点,经度,纬度,悬停高度_m,通信中断_s,覆盖率,是否需要中继,中继能耗_kWh
T020,R004,5,S004,109.2381714,23.0778414,80.0,0.0,1.0,False,0.0
T020,R004,6,S005,109.2283003,23.0561338,80.0,0.0,1.0,False,0.0
T020,R004,7,S006,109.1997836,23.007714,80.0,0.0,1.0,False,0.0
T020,R004,8,S007,109.1928191,23.0294186,80.0,0.0,1.0,False,0.0
T020,R004,9,S008,109.2127472,23.0795113,80.0,0.0,1.0,False,0.0
T020,R004,10,S009,109.2541424,23.0552989,80.0,0.0,1.0,False,0.0
T020,R004,11,S010,109.2760168,23.0194009,80.0,0.0,1.0,False,0.0
T020,R004,12,S011,109.2203356,23.0319231,80.0,0.0,1.0,False,0.0
T020,R004,13,S012,109.2831357,23.054464,80.0,0.0,1.0,False,0.0
T020,R004,14,S013,109.2713839,23.0310882,80.0,0.0,1.0,False,0.0
T020,R004,15,S014,109.2835966,23.0052097,80.0,0.0,1.0,False,0.0
T020,R004,16,S015,109.1923786,23.0494548,80.0,0.0,1.0,False,0.0
T020,R004,17,O01-S001-0.35,109.23518477,23.01728862,80.0,0.0,1.0,False,0.0
T020,R004,18,O01-S001-0.50,109.2370418,23.0210511,80.0,0.0,1.0,False,0.0
T020,R004,19,O01-S001-0.65,109.23889883,23.02481358,80.0,0.0,1.0,False,0.0
T020,R004,20,S001-S011-0.35,109.235218195,23.03300834,80.0,0.0,1.0,False,0.0
T017,R005,1,O01,109.2308517,23.0085095,80.0,0.0,1.0,False,0.0
T017,R005,2,S001,109.2432319,23.0335927,80.0,0.0,1.0,False,0.0
T017,R005,3,S002,109.2585519,23.0703271,80.0,0.0,1.0,False,0.0
T017,R005,4,S003,109.1688578,23.0402714,80.0,0.0,1.0,False,0.0
T017,R005,5,S004,109.2381714,23.0778414,80.0,0.0,1.0,False,0.0
T017,R005,6,S005,109.2283003,23.0561338,80.0,0.0,1.0,False,0.0
T017,R005,7,S006,109.1997836,23.007714,80.0,0.0,1.0,False,0.0
T017,R005,8,S007,109.1928191,23.0294186,80.0,0.0,1.0,False,0.0
T017,R005,9,S008,109.2127472,23.0795113,80.0,0.0,1.0,False,0.0
T017,R005,10,S009,109.2541424,23.0552989,80.0,0.0,1.0,False,0.0
T017,R005,11,S010,109.2760168,23.0194009,80.0,0.0,1.0,False,0.0
T017,R005,12,S011,109.2203356,23.0319231,80.0,0.0,1.0,False,0.0
T017,R005,13,S012,109.2831357,23.054464,80.0,0.0,1.0,False,0.0
T017,R005,14,S013,109.2713839,23.0310882,80.0,0.0,1.0,False,0.0
T017,R005,15,S014,109.2835966,23.0052097,80.0,0.0,1.0,False,0.0
T017,R005,16,S015,109.1923786,23.0494548,80.0,0.0,1.0,False,0.0
T017,R005,17,O01-S001-0.35,109.23518477,23.01728862,80.0,0.0,1.0,False,0.0
T017,R005,18,O01-S001-0.50,109.2370418,23.0210511,80.0,0.0,1.0,False,0.0
T017,R005,19,O01-S001-0.65,109.23889883,23.02481358,80.0,0.0,1.0,False,0.0
T017,R005,20,S001-S011-0.35,109.235218195,23.03300834,80.0,0.0,1.0,False,0.0
T002,R006,1,O01-S001-0.50,109.2370418,23.0210511,80.0,0.0,1.0,True,0.7320751710595647
T002,R006,2,S011-O01-0.35,109.224016235,23.023728339999998,80.0,0.0,1.0,True,0.744755488050954
T002,R006,3,O01-S001-0.50,109.2370418,23.0210511,160.0,0.0,1.0,True,0.7463344303188238
T002,R006,4,O01-S001-0.65,109.23889883,23.02481358,80.0,0.0,1.0,True,0.7515551685530508
T002,R006,5,O01-S009-0.35,109.23900344500001,23.02488579,80.0,0.0,1.0,True,0.7520546918560695
T002,R006,6,O01-S013-0.35,109.24503797,23.016412045,160.0,0.0,1.0,True,0.753630574761225
T002,R006,7,S011-O01-0.35,109.224016235,23.023728339999998,160.0,0.0,1.0,True,0.7590147473102133
T002,R006,8,O01-S005-0.35,109.22995871,23.025178005,160.0,0.0,1.0,True,0.7599755293680845
T002,R006,9,O01-S001-0.50,109.2370418,23.0210511,240.0,0.0,1.0,True,0.7605936895780832
T002,R006,10,O01-S001-0.65,109.23889883,23.02481358,160.0,0.0,1.0,True,0.7658144278123101
T002,R006,11,O01-S009-0.35,109.23900344500001,23.02488579,160.0,0.0,1.0,True,0.7663139511153287
T002,R006,12,O01-S013-0.35,109.24503797,23.016412045,240.0,0.0,1.0,True,0.7678898340204842
T002,R006,13,O01-S010-0.50,109.25343425,23.013955199999998,80.0,0.0,1.0,True,0.7689747857722851
T002,R006,14,O01-S013-0.50,109.2511178,23.01979885,80.0,0.0,1.0,True,0.7703261418542816
T002,R006,15,O01-S001-0.50,109.2370418,23.0210511,300.0,0.0,1.0,True,0.7712881340225276
T002,R006,16,S011-O01-0.35,109.224016235,23.023728339999998,240.0,0.0,1.0,True,0.7732740065694725
T002,R006,17,O01-S005-0.35,109.22995871,23.025178005,240.0,0.0,1.0,True,0.7742347886273439
T002,R006,18,O01-S012-0.35,109.2491511,23.024593574999997,80.0,0.0,1.0,True,0.7771948127023243
T002,R006,19,O01-S002-0.35,109.24054677000001,23.03014566,80.0,0.0,1.0,True,0.7774446526963648
