任务组,服务区,架次,箱数,质量_kg,运输能耗_kWh,中继能耗_kWh,作业时长_s
1,S001、S005、S011,8,24,238.0,17.219031612302157,0.0,11979.500694754073
2,S002、S003、S004、S006、S007、S008、S010、S015,17,44,420.0,56.75217785908851,10.61228861739301,33811.56592257016
3,S009、S012、S013、S014,4,12,100.0,8.805304644301028,2.275376804975694,6860.061259569759
