任务组,服务区,架次,箱数,质量_kg,运输能耗_kWh,中继能耗_kWh,作业时长_s
1,S001、S005、S009、S011、S012、S013、S014,12,36,338.0,26.024336256603185,2.275376804975694,18839.561954323835
2,S002、S003、S004、S006、S007、S008、S010、S015,17,44,420.0,56.75217785908851,10.61228861739301,33811.56592257016
