rho,sid,gtype,q_max,binding,limit
0.2,S015,B,30.0,载质量,3.2
0.2,S015,C,80.0,载质量,6.4
0.25,S001,A,25.0,载质量,3.375
0.25,S001,B,30.0,载质量,3.0
0.25,S001,C,80.0,载质量,6.0
0.25,S002,A,25.0,载质量,3.375
0.25,S002,B,30.0,载质量,3.0
0.25,S002,C,62.172,能量,6.0
0.25,S003,A,25.0,载质量,3.375
0.25,S003,B,29.072,能量,3.0
0.25,S003,C,61.236,能量,6.0
0.25,S004,A,25.0,载质量,3.375
0.25,S004,B,27.408,能量,3.0
0.25,S004,C,55.735,能量,6.0
0.25,S005,A,25.0,载质量,3.375
0.25,S005,B,30.0,载质量,3.0
0.25,S005,C,80.0,载质量,6.0
0.25,S006,A,25.0,载质量,3.375
0.25,S006,B,30.0,载质量,3.0
0.25,S006,C,80.0,载质量,6.0
0.25,S007,A,25.0,载质量,3.375
0.25,S007,B,30.0,载质量,3.0
0.25,S007,C,80.0,载质量,6.0
0.25,S008,A,24.742,能量,3.375
0.25,S008,B,25.564,能量,3.0
0.25,S008,C,49.941,能量,6.0
0.25,S009,A,25.0,载质量,3.375
0.25,S009,B,30.0,载质量,3.0
0.25,S009,C,80.0,载质量,6.0
0.25,S010,A,25.0,载质量,3.375
0.25,S010,B,30.0,载质量,3.0
0.25,S010,C,80.0,载质量,6.0
0.25,S011,A,25.0,载质量,3.375
0.25,S011,B,30.0,载质量,3.0
0.25,S011,C,80.0,载质量,6.0
0.25,S012,A,25.0,载质量,3.375
0.25,S012,B,29.459,能量,3.0
0.25,S012,C,61.174,能量,6.0
0.25,S013,A,25.0,载质量,3.375
0.25,S013,B,30.0,载质量,3.0
0.25,S013,C,80.0,载质量,6.0
0.25,S014,A,25.0,载质量,3.375
0.25,S014,B,30.0,载质量,3.0
0.25,S014,C,80.0,载质量,6.0
0.25,S015,A,25.0,载质量,3.375
0.25,S015,B,30.0,载质量,3.0
0.25,S015,C,78.534,能量,6.0
0.3,S001,A,25.0,载质量,3.15
0.3,S001,B,30.0,载质量,2.8
0.3,S001,C,80.0,载质量,5.6
0.3,S002,A,25.0,载质量,3.15
0.3,S002,B,26.815,能量,2.8
0.3,S002,C,53.15,能量,5.6
0.3,S003,A,24.831,能量,3.15
0.3,S003,B,25.471,能量,2.8
0.3,S003,C,51.912,能量,5.6
0.3,S004,A,20.166,能量,3.15
0.3,S004,B,23.432,能量,2.8
0.3,S004,C,44.842,能量,5.6
0.3,S005,A,25.0,载质量,3.15
0.3,S005,B,30.0,载质量,2.8
0.3,S005,C,80.0,载质量,5.6
0.3,S006,A,25.0,载质量,3.15
0.3,S006,B,30.0,载质量,2.8
0.3,S006,C,80.0,载质量,5.6
0.3,S007,A,25.0,载质量,3.15
0.3,S007,B,30.0,载质量,2.8
0.3,S007,C,80.0,载质量,5.6
0.3,S008,A,14.489,能量,3.15
0.3,S008,B,21.109,能量,2.8
0.3,S008,C,37.136,能量,5.6
0.3,S009,A,25.0,载质量,3.15
0.3,S009,B,30.0,载质量,2.8
0.3,S009,C,79.255,能量,5.6
0.3,S010,A,25.0,载质量,3.15
0.3,S010,B,30.0,载质量,2.8
0.3,S010,C,80.0,载质量,5.6
0.3,S011,A,25.0,载质量,3.15
0.3,S011,B,30.0,载质量,2.8
0.3,S011,C,80.0,载质量,5.6
0.3,S012,A,25.0,载质量,3.15
0.3,S012,B,26.016,能量,2.8
0.3,S012,C,51.868,能量,5.6
0.3,S013,A,25.0,载质量,3.15
0.3,S013,B,30.0,载质量,2.8
0.3,S013,C,80.0,载质量,5.6
0.3,S014,A,25.0,载质量,3.15
0.3,S014,B,30.0,载质量,2.8
0.3,S014,C,79.941,能量,5.6
0.3,S015,A,25.0,载质量,3.15
0.3,S015,B,30.0,载质量,2.8
0.3,S015,C,73.102,能量,5.6
0.35,S001,A,25.0,载质量,2.925
0.35,S001,B,30.0,载质量,2.6
0.35,S001,C,80.0,载质量,5.2
0.35,S002,A,17.504,能量,2.925
0.35,S002,B,22.381,能量,2.6
0.35,S002,C,40.425,能量,5.2
