K,赋权方式,权重,最优方案,配置规模,资源缺口,组间不均衡,规模指数,得分
2,熵权法（正文）,0.296/0.286/0.418,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S006,S011,S012} | 组2{S001,S014}",32,4,0.6915,9.4167,0.6637
2,等权,0.333/0.333/0.333,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S006,S011,S012} | 组2{S001,S014}",32,4,0.6915,9.4167,0.7189
2,两准则,0.500/0.500/0.000,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S001,S014,S012} | 组2{S006,S011}",31,4,0.8649,8.9167,1.0
2,单准则,0.000/1.000/0.000,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S001,S014,S006,S011} | 组2{S012}",32,4,0.8984,9.4167,1.0
3,熵权法（正文）,0.390/0.434/0.177,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S006,S011} | 组2{S001,S014} | 组3{S012}",36,7,0.9939,10.8333,0.7856
3,等权,0.333/0.333/0.333,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S012} | 组2{S001,S014} | 组3{S006,S011}",36,8,0.9521,10.5833,0.7506
3,两准则,0.500/0.500/0.000,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S001,S014} | 组2{S006,S011} | 组3{S012}",35,7,1.1656,10.3333,1.0
3,单准则,0.000/1.000/0.000,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S001,S014} | 组2{S006,S011} | 组3{S012}",35,7,1.1656,10.3333,1.0
