iter,obj,n_trips,energy,makespan,prio_lateness,first_violation
0,1.9000000000000001,18,62.02809271464395,11122.066462960634,737272.6437737343,0.0
1,1.9000000000000001,18,62.02809271464395,11122.066462960634,737272.6437737343,0.0
400,1.0984304684207775,22,76.05915055992202,9140.366943733352,86523.01311178406,0.0
1000,1.0984304684207775,22,76.05915055992202,9140.366943733352,86523.01311178406,0.0
1400,1.070068054236293,23,81.31627528889369,8221.527683628501,52851.006840357295,0.0
1800,1.070068054236293,23,81.31627528889369,8221.527683628501,52851.006840357295,0.0
2000,1.0438327786756432,23,80.3073069444409,8221.527683628501,37106.26805034427,0.0
2200,1.0438327786756432,23,80.3073069444409,8221.527683628501,37106.26805034427,0.0
2400,1.0438327786756432,23,80.3073069444409,8221.527683628501,37106.26805034427,0.0
2600,1.0438327786756432,23,80.3073069444409,8221.527683628501,37106.26805034427,0.0
2800,1.0438327786756432,23,80.3073069444409,8221.527683628501,37106.26805034427,0.0
3000,1.0438327786756432,23,80.3073069444409,8221.527683628501,37106.26805034427,0.0
3200,1.0438327786756432,23,80.3073069444409,8221.527683628501,37106.26805034427,0.0
3600,1.0438327786756432,23,80.3073069444409,8221.527683628501,37106.26805034427,0.0
4200,1.0438327786756432,23,80.3073069444409,8221.527683628501,37106.26805034427,0.0
4400,1.0383539138458375,23,78.96579585121181,8364.870106315426,34999.83942612284,0.0
4600,1.0383539138458375,23,78.96579585121181,8364.870106315426,34999.83942612284,0.0
4800,0.9869228566339123,22,73.70317055428495,8312.19228314457,29182.23685599146,0.0
5000,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
5200,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
5800,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
6800,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
7000,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
7200,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
8000,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
8400,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
8600,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
11200,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
11400,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
11600,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
12000,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
12200,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
13000,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
13400,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
13600,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
14000,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
14200,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
14400,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
14600,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
14800,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
15000,0.9831906973210103,22,73.03246633079509,8312.19228314457,28822.23685599146,0.0
