方案,架次数,总能耗_kWh,累计作业时间_s,累计作业时间_h
架次最少,18,63.439283343319445,33092.273706012864,9.19229825167024
能耗最少,24,61.18194914754869,39504.378341893826,10.97343842830384
时间最少,18,59.257949000243244,32841.4907124419,9.122636309011638
均衡方案,19,59.79902107690747,33881.51641795416,9.4115323383206
架次优先,19,59.79902107690747,33881.51641795416,9.4115323383206
能耗优先,19,59.79902107690747,33881.51641795416,9.4115323383206
时间优先,19,59.79902107690747,33881.51641795416,9.4115323383206
