K,分区编码,资源缺口,资源配置总规模,工作量均衡系数,组内冗余
2,0000010100111,5,25,0.446638,10
2,0000010101000,4,24,0.644712,10
2,0000010101001,3,21,0.556565,12
2,0000010101010,5,25,0.56375,10
2,0000010101011,3,22,0.475604,11
2,0000010101100,4,22,0.539225,12
2,0000010101101,5,25,0.451079,10
2,0000010101110,4,23,0.458263,11
2,0000010101111,5,25,0.370117,10
2,0000010110000,4,23,0.632341,11
2,0000010110001,3,21,0.544195,12
2,0000010110010,4,23,0.551379,11
2,0000010110011,3,21,0.463233,12
2,0000010110100,4,22,0.526855,12
2,0000010110101,5,25,0.438709,10
2,0000010110110,4,22,0.445893,12
2,0000010110111,5,25,0.357747,10
2,0000010111000,4,24,0.555821,10
2,0000010111001,3,21,0.467674,12
2,0000010111010,5,25,0.474859,10
2,0000010111011,3,22,0.386712,11
2,0000010111100,4,22,0.450334,12
2,0000010111101,5,25,0.362188,10
2,0000010111110,4,23,0.369372,11
2,0000010111111,5,24,0.281226,11
2,0000011000000,3,21,0.738396,12
2,0000011000001,3,22,0.65025,11
2,0000011000010,4,23,0.657434,11
2,0000011000011,3,22,0.569288,11
2,0000011000100,4,23,0.632909,11
2,0000011000101,6,26,0.544763,10
2,0000011000110,4,23,0.551947,11
2,0000011000111,6,26,0.463801,10
2,0000011001000,4,23,0.661875,11
2,0000011001001,3,21,0.573729,12
2,0000011001010,5,25,0.580913,10
2,0000011001011,3,22,0.492767,11
2,0000011001100,4,22,0.556389,12
2,0000011001101,5,25,0.468242,10
2,0000011001110,4,23,0.475427,11
2,0000011001111,5,25,0.38728,10
2,0000011010000,4,23,0.649505,11
2,0000011010001,3,22,0.561359,11
2,0000011010010,4,23,0.568543,11
2,0000011010011,3,22,0.480397,11
2,0000011010100,4,23,0.544018,11
2,0000011010101,6,26,0.455872,10
2,0000011010110,4,23,0.463056,11
2,0000011010111,6,26,0.37491,10
2,0000011011000,4,23,0.572984,11
2,0000011011001,3,21,0.484838,12
2,0000011011010,5,25,0.492022,10
2,0000011011011,3,22,0.403876,11
2,0000011011100,4,22,0.467498,12
2,0000011011101,5,25,0.379351,10
2,0000011011110,4,23,0.386536,11
2,0000011011111,5,24,0.298389,11
2,0000011100000,1,18,0.537245,13
2,0000011100001,1,19,0.449099,12
2,0000011100010,2,20,0.456283,12
2,0000011100011,1,19,0.368137,12
2,0000011100100,2,20,0.431758,12
2,0000011100101,3,23,0.343612,10
2,0000011100110,2,20,0.350796,12
2,0000011100111,3,23,0.26265,10
2,0000011101000,2,21,0.460724,11
2,0000011101001,1,19,0.372578,12
2,0000011101010,3,22,0.379762,11
2,0000011101011,1,20,0.291616,11
2,0000011101100,2,20,0.355237,12
2,0000011101101,3,23,0.267091,10
2,0000011101110,2,21,0.274276,11
2,0000011101111,3,23,0.186129,10
2,0000011110000,2,20,0.448354,12
2,0000011110001,1,19,0.360208,12
2,0000011110010,2,20,0.367392,12
2,0000011110011,1,19,0.279246,12
2,0000011110100,2,20,0.342867,12
2,0000011110101,3,23,0.254721,10
2,0000011110110,2,20,0.261905,12
2,0000011110111,3,23,0.173759,10
2,0000011111000,2,21,0.371833,11
2,0000011111001,1,19,0.283687,12
2,0000011111010,3,22,0.290871,11
2,0000011111011,1,20,0.202725,11
2,0000011111100,2,20,0.266346,12
2,0000011111101,3,23,0.1782,10
2,0000011111110,2,21,0.185385,11
2,0000011111111,3,22,0.097238,11
2,0000100000000,3,21,0.855395,12
2,0000100000001,3,21,0.767249,12
2,0000100000010,4,23,0.774433,11
2,0000100000011,3,21,0.686287,12
2,0000100000100,3,21,0.749909,12
2,0000100000101,5,25,0.661763,10
2,0000100000110,3,21,0.668947,12
2,0000100000111,5,25,0.580801,10
2,0000100001000,4,23,0.778875,11
2,0000100001001,3,20,0.690728,13
2,0000100001010,5,25,0.697913,10
2,0000100001011,3,22,0.609766,11
2,0000100001100,3,20,0.673388,13
2,0000100001101,5,24,0.585242,11
2,0000100001110,3,22,0.592426,11
2,0000100001111,5,24,0.50428,11
2,0000100010000,5,25,0.766504,10
2,0000100010001,4,23,0.678358,11
2,0000100010010,5,25,0.685542,10
2,0000100010011,4,23,0.597396,11
2,0000100010100,4,23,0.661018,11
2,0000100010101,5,25,0.572872,10
2,0000100010110,4,23,0.580056,11
2,0000100010111,5,25,0.49191,10
2,0000100011000,5,25,0.689984,10
2,0000100011001,4,22,0.601837,12
2,0000100011010,6,26,0.609022,10
2,0000100011011,4,23,0.520875,11
2,0000100011100,4,22,0.584497,12
2,0000100011101,5,24,0.496351,11
2,0000100011110,4,23,0.503535,11
2,0000100011111,5,23,0.415389,12
2,0000100100000,3,21,0.654244,12
2,0000100100001,3,21,0.566098,12
2,0000100100010,4,23,0.573282,11
2,0000100100011,3,21,0.485136,12
2,0000100100100,4,22,0.548758,12
2,0000100100101,5,25,0.460611,10
2,0000100100110,4,22,0.467796,12
2,0000100100111,5,25,0.379649,10
2,0000100101000,4,24,0.577723,10
2,0000100101001,3,21,0.489577,12
2,0000100101010,5,25,0.496762,10
2,0000100101011,3,22,0.408615,11
2,0000100101100,4,22,0.472237,12
2,0000100101101,5,25,0.384091,10
2,0000100101110,4,23,0.391275,11
2,0000100101111,5,24,0.303129,11
2,0000100110000,5,25,0.565353,10
2,0000100110001,4,22,0.477207,12
2,0000100110010,5,25,0.484391,10
2,0000100110011,4,22,0.396245,12
2,0000100110100,4,22,0.459867,12
2,0000100110101,5,25,0.37172,10
2,0000100110110,4,22,0.378905,12
2,0000100110111,5,25,0.290758,10
2,0000100111000,5,25,0.488832,10
2,0000100111001,4,22,0.400686,12
2,0000100111010,6,26,0.407871,10
2,0000100111011,4,23,0.319724,11
2,0000100111100,4,22,0.383346,12
2,0000100111101,5,25,0.2952,10
2,0000100111110,4,23,0.302384,11
2,0000100111111,5,23,0.214238,12
2,0000101000000,3,21,0.671408,12
2,0000101000001,3,22,0.583262,11
2,0000101000010,4,23,0.590446,11
2,0000101000011,3,22,0.5023,11
2,0000101000100,4,23,0.565921,11
2,0000101000101,6,26,0.477775,10
2,0000101000110,4,23,0.484959,11
2,0000101000111,6,26,0.396813,10
2,0000101001000,4,23,0.594887,11
2,0000101001001,3,21,0.506741,12
2,0000101001010,5,25,0.513925,10
2,0000101001011,3,22,0.425779,11
2,0000101001100,4,22,0.4894,12
2,0000101001101,5,25,0.401254,10
2,0000101001110,4,23,0.408438,11
2,0000101001111,5,25,0.320292,10
2,0000101010000,5,25,0.582517,10
2,0000101010001,4,23,0.494371,11
2,0000101010010,5,25,0.501555,10
2,0000101010011,4,23,0.413409,11
2,0000101010100,4,23,0.47703,11
2,0000101010101,6,26,0.388884,10
2,0000101010110,4,23,0.396068,11
2,0000101010111,6,26,0.307922,10
2,0000101011000,5,25,0.505996,10
2,0000101011001,4,22,0.41785,12
2,0000101011010,6,26,0.425034,10
2,0000101011011,4,23,0.336888,11
2,0000101011100,4,22,0.400509,12
2,0000101011101,5,25,0.312363,10
2,0000101011110,4,23,0.319547,11
2,0000101011111,5,24,0.231401,11
2,0000101100000,2,19,0.470257,13
2,0000101100001,2,20,0.38211,12
2,0000101100010,3,21,0.389295,12
2,0000101100011,2,20,0.301149,12
2,0000101100100,3,21,0.36477,12
2,0000101100101,4,24,0.276624,10
2,0000101100110,3,21,0.283808,12
2,0000101100111,4,24,0.195662,10
2,0000101101000,3,22,0.393736,11
2,0000101101001,2,20,0.30559,12
2,0000101101010,4,23,0.312774,11
2,0000101101011,2,20,0.224628,12
2,0000101101100,3,21,0.288249,12
2,0000101101101,4,24,0.200103,10
2,0000101101110,3,21,0.207287,12
2,0000101101111,4,23,0.119141,11
2,0000101110000,4,23,0.381366,11
2,0000101110001,3,21,0.293219,12
2,0000101110010,4,23,0.300404,11
2,0000101110011,3,21,0.212258,12
2,0000101110100,3,21,0.275879,12
2,0000101110101,4,24,0.187733,10
2,0000101110110,3,21,0.194917,12
2,0000101110111,4,24,0.106771,10
2,0000101111000,4,23,0.304845,11
2,0000101111001,3,21,0.216699,12
2,0000101111010,5,24,0.223883,11
2,0000101111011,3,21,0.135737,12
2,0000101111100,3,21,0.199358,12
2,0000101111101,4,24,0.111212,10
2,0000101111110,3,21,0.118396,12
2,0000101111111,4,22,0.03025,12
2,0000110000000,2,20,0.777779,12
2,0000110000001,2,20,0.689633,12
2,0000110000010,3,22,0.696817,11
2,0000110000011,2,20,0.608671,12
2,0000110000100,2,20,0.672292,12
2,0000110000101,4,24,0.584146,10
2,0000110000110,2,20,0.59133,12
2,0000110000111,4,24,0.503184,10
2,0000110001000,3,22,0.701258,11
2,0000110001001,2,19,0.613112,13
2,0000110001010,4,24,0.620296,10
2,0000110001011,2,21,0.53215,11
2,0000110001100,2,19,0.595771,13
2,0000110001101,4,23,0.507625,11
2,0000110001110,2,21,0.514809,11
2,0000110001111,4,23,0.426663,11
2,0000110010000,4,24,0.688888,10
2,0000110010001,3,22,0.600742,11
2,0000110010010,4,24,0.607926,10
2,0000110010011,3,22,0.51978,11
2,0000110010100,3,22,0.583401,11
2,0000110010101,4,24,0.495255,10
2,0000110010110,3,22,0.502439,11
2,0000110010111,4,24,0.414293,10
2,0000110011000,4,24,0.612367,10
2,0000110011001,3,21,0.524221,12
2,0000110011010,5,25,0.531405,10
2,0000110011011,3,22,0.443259,11
2,0000110011100,3,21,0.50688,12
2,0000110011101,4,23,0.418734,11
2,0000110011110,3,22,0.425918,11
2,0000110011111,4,22,0.337772,12
2,0000110100000,3,21,0.576628,12
2,0000110100001,3,21,0.488481,12
2,0000110100010,4,23,0.495666,11
2,0000110100011,3,21,0.407519,12
2,0000110100100,4,22,0.471141,12
2,0000110100101,5,25,0.382995,10
2,0000110100110,4,22,0.390179,12
2,0000110100111,5,25,0.302033,10
2,0000110101000,4,24,0.500107,10
2,0000110101001,3,21,0.411961,12
2,0000110101010,5,25,0.419145,10
2,0000110101011,3,22,0.330999,11
2,0000110101100,4,22,0.39462,12
2,0000110101101,5,25,0.306474,10
2,0000110101110,4,23,0.313658,11
2,0000110101111,5,24,0.225512,11
2,0000110110000,5,25,0.487737,10
2,0000110110001,4,22,0.39959,12
2,0000110110010,5,25,0.406775,10
2,0000110110011,4,22,0.318628,12
2,0000110110100,4,22,0.38225,12
2,0000110110101,5,25,0.294104,10
2,0000110110110,4,22,0.301288,12
2,0000110110111,5,25,0.213142,10
2,0000110111000,5,25,0.411216,10
2,0000110111001,4,22,0.32307,12
2,0000110111010,6,26,0.330254,10
2,0000110111011,4,23,0.242108,11
2,0000110111100,4,22,0.305729,12
2,0000110111101,5,25,0.217583,10
2,0000110111110,4,23,0.224767,11
2,0000110111111,5,23,0.136621,12
