K,分区编码,资源缺口,资源配置总规模,工作量均衡系数,组内冗余
3,0010101210122,9,29,0.314415,10
3,0010101210200,10,30,0.415592,10
3,0010101210201,10,30,0.385958,10
3,0010101210202,13,33,0.308647,10
3,0010101210210,10,30,0.387333,10
3,0010101210211,10,30,0.384296,10
3,0010101210212,13,33,0.28858,10
3,0010101210220,10,30,0.317338,10
3,0010101210221,10,30,0.296066,10
3,0010101210222,13,33,0.211328,10
3,0010101211000,9,29,0.511842,10
3,0010101211001,6,26,0.494487,10
3,0010101211002,9,29,0.408353,10
3,0010101211010,9,29,0.495044,10
3,0010101211011,5,25,0.499011,10
3,0010101211012,8,28,0.400677,10
3,0010101211020,11,31,0.416703,10
3,0010101211021,7,27,0.40851,10
3,0010101211022,8,28,0.315943,10
3,0010101211100,6,26,0.493786,10
3,0010101211101,7,26,0.504236,11
3,0010101211102,8,28,0.403165,10
3,0010101211110,5,25,0.502525,10
3,0010101211111,6,24,0.533264,12
3,0010101211112,6,26,0.42656,10
3,0010101211120,7,27,0.410237,10
3,0010101211121,7,26,0.435233,11
3,0010101211122,6,26,0.329273,10
3,0010101211200,10,30,0.38828,10
3,0010101211201,9,29,0.383723,10
3,0010101211202,12,32,0.288835,10
3,0010101211210,9,29,0.382959,10
3,0010101211211,7,27,0.405647,10
3,0010101211212,10,30,0.300044,10
3,0010101211220,9,29,0.296718,10
3,0010101211221,7,27,0.30859,10
3,0010101211222,10,30,0.205219,10
3,0010101212000,12,32,0.45084,10
3,0010101212001,9,29,0.419135,10
3,0010101212002,9,29,0.343721,10
3,0010101212010,12,32,0.420773,10
3,0010101212011,8,28,0.413372,10
3,0010101212012,8,28,0.320377,10
3,0010101212020,13,33,0.352432,10
3,0010101212021,9,29,0.327613,10
3,0010101212022,9,29,0.245977,10
3,0010101212100,9,29,0.415922,10
3,0010101212101,9,29,0.416297,10
3,0010101212102,8,28,0.319102,10
3,0010101212110,8,28,0.415217,10
3,0010101212111,7,27,0.440598,10
3,0010101212112,6,26,0.334581,10
3,0010101212120,9,29,0.326732,10
3,0010101212121,8,28,0.343176,10
3,0010101212122,7,27,0.238741,10
3,0010101212200,10,30,0.322713,10
3,0010101212201,9,29,0.300846,10
3,0010101212202,12,32,0.216623,10
3,0010101212210,9,29,0.301243,10
3,0010101212211,7,27,0.31388,10
3,0010101212212,10,30,0.210318,10
3,0010101212220,10,30,0.225203,10
3,0010101212221,8,28,0.218599,10
3,0010101212222,10,30,0.122097,10
3,0010101220000,9,29,0.48957,10
3,0010101220001,7,26,0.436148,11
3,0010101220002,7,27,0.382209,10
3,0010101220010,10,30,0.439753,10
3,0010101220011,8,27,0.406619,11
3,0010101220012,8,28,0.332404,10
3,0010101220020,9,29,0.390947,10
3,0010101220021,7,26,0.337773,11
3,0010101220022,7,27,0.283996,10
3,0010101220100,7,26,0.428065,11
3,0010101220101,9,29,0.402096,10
3,0010101220102,7,27,0.321857,10
3,0010101220110,8,27,0.403194,11
3,0010101220111,9,29,0.403009,10
3,0010101220112,8,28,0.305978,10
3,0010101220120,7,26,0.330471,11
3,0010101220121,9,29,0.313619,10
3,0010101220122,7,27,0.225772,10
3,0010101220200,8,28,0.36113,10
3,0010101220201,8,28,0.308072,10
3,0010101220202,11,31,0.25439,10
3,0010101220210,9,29,0.311336,10
3,0010101220211,9,29,0.287808,10
3,0010101220212,12,32,0.204779,10
3,0010101220220,8,28,0.263053,10
3,0010101220221,8,28,0.210702,10
3,0010101220222,11,31,0.157816,10
3,0010101221000,9,29,0.442055,10
3,0010101221001,7,26,0.407669,11
3,0010101221002,7,27,0.334567,10
3,0010101221010,11,31,0.409516,10
3,0010101221011,7,27,0.399868,10
3,0010101221012,8,28,0.308108,10
3,0010101221020,9,29,0.343317,10
3,0010101221021,6,25,0.315203,11
3,0010101221022,6,26,0.236217,10
3,0010101221100,7,26,0.403968,11
3,0010101221101,8,28,0.402326,10
3,0010101221102,7,26,0.306039,11
3,0010101221110,7,27,0.401375,10
3,0010101221111,7,26,0.425661,11
3,0010101221112,6,26,0.319806,10
3,0010101221120,6,25,0.313774,11
3,0010101221121,7,26,0.328383,11
3,0010101221122,6,24,0.224352,12
3,0010101221200,8,28,0.31346,10
3,0010101221201,8,27,0.288073,11
3,0010101221202,10,30,0.206578,10
3,0010101221210,9,29,0.288718,10
3,0010101221211,7,27,0.299159,10
3,0010101221212,10,30,0.196163,10
3,0010101221220,7,27,0.215249,10
3,0010101221221,7,25,0.204366,12
3,0010101221222,8,28,0.110266,10
3,0010101222000,10,30,0.39635,10
3,0010101222001,7,27,0.343157,10
3,0010101222002,7,27,0.289367,10
3,0010101222010,11,31,0.346541,10
3,0010101222011,7,27,0.319631,10
3,0010101222012,7,27,0.239657,10
3,0010101222020,11,31,0.29806,10
3,0010101222021,7,27,0.245374,10
3,0010101222022,7,27,0.192066,10
3,0010101222100,7,27,0.335801,10
3,0010101222101,9,29,0.31831,10
3,0010101222102,7,26,0.230976,11
3,0010101222110,7,27,0.318404,10
3,0010101222111,7,27,0.33369,10
3,0010101222112,6,25,0.229507,11
3,0010101222120,7,27,0.239415,10
3,0010101222121,8,28,0.237872,10
3,0010101222122,6,25,0.138984,11
3,0010101222200,8,28,0.268412,10
3,0010101222201,8,27,0.216001,11
3,0010101222202,10,30,0.163034,10
3,0010101222210,8,28,0.218754,10
3,0010101222211,7,26,0.209461,11
3,0010101222212,9,29,0.114424,10
3,0010101222220,8,28,0.171502,10
3,0010101222221,7,26,0.121363,11
3,0010101222222,8,28,0.073193,10
3,0010102000000,9,29,0.768622,10
3,0010102000001,7,26,0.691846,11
3,0010102000002,9,29,0.666943,10
3,0010102000010,10,30,0.697794,10
3,0010102000011,7,27,0.629442,10
3,0010102000012,10,30,0.593005,10
3,0010102000020,11,31,0.675158,10
3,0010102000021,8,28,0.595326,10
3,0010102000022,9,29,0.57557,10
3,0010102000100,7,26,0.677743,11
3,0010102000101,8,28,0.612455,10
3,0010102000102,9,29,0.572116,10
3,0010102000110,7,27,0.617328,10
3,0010102000111,8,28,0.564153,10
3,0010102000112,10,30,0.509686,10
3,0010102000120,8,28,0.580693,10
3,0010102000121,10,30,0.513492,10
3,0010102000122,9,29,0.476019,10
3,0010102000200,10,30,0.64718,10
3,0010102000201,10,30,0.566269,10
3,0010102000202,13,33,0.548425,10
3,0010102000210,11,31,0.572529,10
3,0010102000211,11,31,0.501016,10
3,0010102000212,14,34,0.469492,10
3,0010102000220,10,30,0.556346,10
3,0010102000221,10,30,0.471215,10
3,0010102000222,13,33,0.461366,10
3,0010102001000,9,29,0.701502,10
3,0010102001001,7,26,0.632622,11
3,0010102001002,9,29,0.596872,10
3,0010102001010,11,31,0.63783,10
3,0010102001011,8,28,0.579951,10
3,0010102001012,11,31,0.530738,10
3,0010102001020,11,31,0.605356,10
3,0010102001021,8,28,0.534103,10
3,0010102001022,9,29,0.502012,10
3,0010102001100,7,26,0.620384,11
3,0010102001101,8,26,0.56646,12
3,0010102001102,8,27,0.512811,11
3,0010102001110,8,28,0.570281,10
3,0010102001111,8,27,0.53163,11
3,0010102001112,9,29,0.462627,10
3,0010102001120,8,28,0.521572,10
3,0010102001121,9,28,0.467699,11
3,0010102001122,8,27,0.41418,11
3,0010102001200,10,30,0.576433,10
3,0010102001201,9,28,0.504309,11
3,0010102001202,11,31,0.473625,10
3,0010102001210,12,32,0.509714,10
3,0010102001211,10,30,0.450855,10
3,0010102001212,13,33,0.403185,10
3,0010102001220,10,30,0.48192,10
3,0010102001221,9,28,0.406207,11
3,0010102001222,11,31,0.381709,10
3,0010102002000,11,31,0.680243,10
3,0010102002001,8,28,0.600598,10
3,0010102002002,9,29,0.580516,10
3,0010102002010,12,32,0.606762,10
3,0010102002011,9,29,0.536244,10
3,0010102002012,10,30,0.503124,10
3,0010102002020,13,33,0.588535,10
3,0010102002021,10,30,0.505041,10
3,0010102002022,10,30,0.491988,10
3,0010102002100,8,28,0.585998,10
3,0010102002101,9,28,0.518919,11
3,0010102002102,8,27,0.481259,11
3,0010102002110,9,29,0.523875,10
3,0010102002111,9,28,0.47089,11
3,0010102002112,8,28,0.416372,10
3,0010102002120,10,30,0.489743,10
3,0010102002121,10,30,0.420042,10
3,0010102002122,8,28,0.386618,10
3,0010102002200,10,30,0.561256,10
3,0010102002201,9,28,0.476386,11
3,0010102002202,11,31,0.466016,10
3,0010102002210,11,31,0.482958,10
3,0010102002211,9,29,0.408159,10
3,0010102002212,12,32,0.382252,10
3,0010102002220,11,31,0.473575,10
3,0010102002221,9,29,0.383292,10
3,0010102002222,11,31,0.384507,10
3,0010102010000,11,31,0.691233,10
3,0010102010001,8,28,0.623842,10
3,0010102010002,11,31,0.586165,10
3,0010102010010,11,31,0.628912,10
3,0010102010011,8,28,0.572989,10
3,0010102010012,11,31,0.521556,10
3,0010102010020,13,33,0.594689,10
3,0010102010021,10,30,0.525106,10
3,0010102010022,11,31,0.490766,10
3,0010102010100,8,28,0.611955,10
3,0010102010101,9,29,0.560143,10
3,0010102010102,11,31,0.504205,10
3,0010102010110,8,28,0.563771,10
3,0010102010111,9,29,0.527748,10
3,0010102010112,11,31,0.456373,10
3,0010102010120,10,30,0.512984,10
3,0010102010121,11,31,0.461658,10
3,0010102010122,11,31,0.405334,10
3,0010102010200,12,32,0.565623,10
3,0010102010201,12,32,0.495231,10
3,0010102010202,15,35,0.462181,10
3,0010102010210,12,32,0.500467,10
3,0010102010211,12,32,0.444074,10
3,0010102010212,15,35,0.393514,10
3,0010102010220,12,32,0.470536,10
3,0010102010221,12,32,0.396778,10
3,0010102010222,15,35,0.369452,10
3,0010102011000,11,31,0.632086,10
3,0010102011001,8,28,0.575452,10
3,0010102011002,11,31,0.524821,10
3,0010102011010,11,31,0.579523,10
3,0010102011011,8,28,0.537464,10
3,0010102011012,11,31,0.471651,10
3,0010102011020,13,33,0.533553,10
3,0010102011021,10,30,0.47644,10
3,0010102011022,11,31,0.426606,10
3,0010102011100,8,28,0.56607,10
3,0010102011101,8,27,0.529095,11
3,0010102011102,9,29,0.45857,10
3,0010102011110,8,28,0.531385,10
3,0010102011111,8,27,0.513114,11
3,0010102011112,9,29,0.427698,10
3,0010102011120,10,30,0.467324,10
3,0010102011121,9,29,0.434284,10
3,0010102011122,9,29,0.360073,10
3,0010102011200,12,32,0.503754,10
3,0010102011201,10,30,0.446461,10
3,0010102011202,13,33,0.396947,10
3,0010102011210,12,32,0.450435,10
3,0010102011211,10,30,0.412142,10
3,0010102011212,13,33,0.34263,10
3,0010102011220,12,32,0.40563,10
3,0010102011221,10,30,0.347562,10
3,0010102011222,13,33,0.299572,10
3,0010102012000,13,33,0.599963,10
3,0010102012001,10,30,0.530519,10
3,0010102012002,11,31,0.495961,10
3,0010102012010,13,33,0.535701,10
3,0010102012011,10,30,0.479458,10
3,0010102012012,11,31,0.428605,10
3,0010102012020,15,35,0.504375,10
3,0010102012021,12,32,0.431965,10
3,0010102012022,12,32,0.402275,10
3,0010102012100,10,30,0.518411,10
3,0010102012101,9,29,0.467053,10
3,0010102012102,9,29,0.410754,10
3,0010102012110,10,30,0.470522,10
3,0010102012111,9,29,0.438395,10
3,0010102012112,9,29,0.363407,10
3,0010102012120,12,32,0.419523,10
3,0010102012121,11,31,0.368908,10
3,0010102012122,10,30,0.312054,10
3,0010102012200,12,32,0.475709,10
3,0010102012201,10,30,0.40217,10
3,0010102012202,13,33,0.374453,10
3,0010102012210,12,32,0.40759,10
3,0010102012211,10,30,0.350686,10
3,0010102012212,13,33,0.301248,10
3,0010102012220,13,33,0.382568,10
3,0010102012221,11,31,0.304146,10
3,0010102012222,13,33,0.285805,10
3,0010102020000,11,31,0.666093,10
3,0010102020001,8,28,0.585921,10
3,0010102020002,9,29,0.566762,10
3,0010102020010,12,32,0.592125,10
3,0010102020011,9,29,0.521195,10
3,0010102020012,10,30,0.488729,10
3,0010102020020,11,31,0.574741,10
3,0010102020021,8,28,0.490567,10
3,0010102020022,9,29,0.478828,10
3,0010102020100,8,28,0.571227,10
3,0010102020101,10,30,0.503804,10
3,0010102020102,9,29,0.466677,10
3,0010102020110,9,29,0.508777,10
3,0010102020111,10,30,0.455831,10
3,0010102020112,10,30,0.401305,10
3,0010102020120,8,28,0.475141,10
3,0010102020121,10,30,0.404947,10
3,0010102020122,9,29,0.372365,10
3,0010102020200,10,30,0.547606,10
3,0010102020201,10,30,0.461999,10
3,0010102020202,13,33,0.453107,10
3,0010102020210,11,31,0.468631,10
3,0010102020211,11,31,0.393186,10
3,0010102020212,14,34,0.368448,10
3,0010102020220,10,30,0.460588,10
3,0010102020221,10,30,0.369346,10
3,0010102020222,13,33,0.372807,10
3,0010102021000,11,31,0.595993,10
3,0010102021001,8,28,0.524467,10
3,0010102021002,9,29,0.492813,10
3,0010102021010,13,33,0.529835,10
3,0010102021011,10,30,0.471162,10
3,0010102021012,11,31,0.423187,10
3,0010102021020,11,31,0.501147,10
3,0010102021021,8,28,0.426276,10
3,0010102021022,9,29,0.400268,10
3,0010102021100,8,28,0.511902,10
3,0010102021101,9,28,0.458036,11
3,0010102021102,8,27,0.404535,11
3,0010102021110,10,30,0.461718,10
3,0010102021111,9,29,0.42702,10
3,0010102021112,9,29,0.354249,10
3,0010102021120,8,28,0.413274,10
3,0010102021121,9,28,0.359518,11
3,0010102021122,8,27,0.306283,11
3,0010102021200,10,30,0.472766,10
3,0010102021201,9,28,0.396628,11
3,0010102021202,11,31,0.372907,10
3,0010102021210,12,32,0.402289,10
3,0010102021211,10,30,0.342128,10
3,0010102021212,13,33,0.296804,10
3,0010102021220,10,30,0.38088,10
3,0010102021221,9,28,0.2993,11
3,0010102021222,11,31,0.28641,10
3,0010102022000,11,31,0.579686,10
3,0010102022001,8,28,0.495759,10
3,0010102022002,9,29,0.483539,10
3,0010102022010,12,32,0.502256,10
3,0010102022011,9,29,0.428266,10
3,0010102022012,10,30,0.400924,10
3,0010102022020,13,33,0.491192,10
3,0010102022021,10,30,0.402139,10
3,0010102022022,10,30,0.400567,10
3,0010102022100,8,28,0.48038,10
3,0010102022101,9,28,0.410366,11
3,0010102022102,8,27,0.377474,11
3,0010102022110,9,29,0.415465,10
3,0010102022111,9,28,0.362845,11
3,0010102022112,8,28,0.308282,10
3,0010102022120,10,30,0.385758,10
3,0010102022121,10,30,0.311688,10
3,0010102022122,8,28,0.286252,10
3,0010102022200,10,30,0.465235,10
3,0010102022201,9,28,0.374343,11
3,0010102022202,11,31,0.376979,10
3,0010102022210,11,31,0.381418,10
3,0010102022211,9,29,0.300961,10
3,0010102022212,12,32,0.286101,10
3,0010102022220,11,31,0.383795,10
3,0010102022221,9,29,0.285818,10
3,0010102022222,11,31,0.30721,10
3,0010102100000,8,28,0.60745,10
3,0010102100001,7,25,0.556828,12
3,0010102100002,8,28,0.499625,10
3,0010102100010,9,29,0.560347,10
3,0010102100011,7,26,0.525796,11
3,0010102100012,9,29,0.453126,10
3,0010102100020,10,30,0.508411,10
3,0010102100021,8,27,0.458529,11
3,0010102100022,8,28,0.40065,10
3,0010102100100,7,25,0.548824,12
3,0010102100101,8,28,0.519774,10
3,0010102100102,8,28,0.442475,10
3,0010102100110,7,26,0.521366,11
3,0010102100111,8,28,0.512044,10
3,0010102100112,9,29,0.420837,10
3,0010102100120,8,27,0.451114,11
3,0010102100121,10,30,0.427979,10
3,0010102100122,8,28,0.345674,10
3,0010102100200,9,29,0.47842,10
3,0010102100201,9,29,0.42883,10
3,0010102100202,12,32,0.370688,10
3,0010102100210,10,30,0.432076,10
3,0010102100211,10,30,0.403868,10
3,0010102100212,13,33,0.325452,10
3,0010102100220,9,29,0.379464,10
3,0010102100221,9,29,0.331221,10
3,0010102100222,12,32,0.271894,10
3,0010102101000,9,29,0.56258,10
3,0010102101001,7,26,0.527062,11
3,0010102101002,9,29,0.45524,10
3,0010102101010,10,30,0.529222,10
3,0010102101011,6,26,0.512624,10
3,0010102101012,9,29,0.426061,10
3,0010102101020,11,31,0.463978,10
3,0010102101021,7,27,0.432756,10
3,0010102101022,8,28,0.356976,10
3,0010102101100,7,26,0.522422,11
3,0010102101101,8,27,0.511974,11
3,0010102101102,9,28,0.421449,11
3,0010102101110,6,26,0.511982,10
3,0010102101111,7,25,0.522233,12
3,0010102101112,7,27,0.421336,10
3,0010102101120,7,27,0.429551,10
3,0010102101121,8,27,0.429431,11
3,0010102101122,7,26,0.332593,11
3,0010102101200,10,30,0.43416,10
3,0010102101201,10,29,0.404648,11
3,0010102101202,12,32,0.327317,10
3,0010102101210,10,30,0.40606,10
3,0010102101211,8,28,0.40192,10
3,0010102101212,11,31,0.306971,10
3,0010102101220,9,29,0.335998,10
3,0010102101221,8,27,0.314396,11
3,0010102101222,10,30,0.2301,10
3,0010102102000,10,30,0.513842,10
3,0010102102001,8,27,0.463912,11
3,0010102102002,8,28,0.406077,10
3,0010102102010,11,31,0.467248,10
3,0010102102011,8,27,0.436933,11
3,0010102102012,8,28,0.360402,10
3,0010102102020,12,32,0.414856,10
3,0010102102021,8,28,0.366047,10
3,0010102102022,8,28,0.307213,10
3,0010102102100,8,27,0.456458,11
3,0010102102101,9,29,0.43293,10
3,0010102102102,8,27,0.35095,11
3,0010102102110,8,27,0.433891,11
3,0010102102111,8,27,0.434449,11
3,0010102102112,7,26,0.33731,11
3,0010102102120,8,28,0.359495,10
3,0010102102121,9,29,0.344987,10
3,0010102102122,7,26,0.255847,11
3,0010102102200,9,29,0.384889,10
3,0010102102201,9,28,0.336552,11
3,0010102102202,11,31,0.277307,10
3,0010102102210,9,29,0.339466,10
3,0010102102211,8,27,0.319021,11
3,0010102102212,10,30,0.233883,10
3,0010102102220,9,29,0.286065,10
3,0010102102221,8,27,0.240136,11
3,0010102102222,9,29,0.17889,10
3,0010102110000,10,30,0.55647,10
3,0010102110001,7,27,0.523668,10
3,0010102110002,10,30,0.449491,10
3,0010102110010,10,30,0.525589,10
3,0010102110011,7,27,0.512076,10
3,0010102110012,10,30,0.423475,10
3,0010102110020,12,32,0.458193,10
3,0010102110021,9,29,0.430365,10
3,0010102110022,10,30,0.351756,10
3,0010102110100,7,27,0.519617,10
3,0010102110101,8,28,0.512314,10
3,0010102110102,10,30,0.419919,10
3,0010102110110,7,27,0.512062,10
3,0010102110111,8,28,0.525433,10
3,0010102110112,10,30,0.42337,10
3,0010102110120,9,29,0.427894,10
3,0010102110121,10,30,0.431581,10
3,0010102110122,10,30,0.332916,10
3,0010102110200,11,31,0.428503,10
3,0010102110201,11,31,0.402655,10
3,0010102110202,14,34,0.322323,10
3,0010102110210,11,31,0.403744,10
3,0010102110211,11,31,0.403652,10
3,0010102110212,14,34,0.30658,10
3,0010102110220,11,31,0.330934,10
3,0010102110221,11,31,0.314226,10
3,0010102110222,14,34,0.226283,10
3,0010102111000,10,30,0.526846,10
3,0010102111001,7,27,0.512221,10
3,0010102111002,10,30,0.424343,10
3,0010102111010,10,30,0.512578,10
3,0010102111011,6,26,0.518604,10
3,0010102111012,9,29,0.419454,10
3,0010102111020,12,32,0.432598,10
3,0010102111021,8,28,0.427375,10
3,0010102111022,9,29,0.333242,10
3,0010102111100,7,27,0.511981,10
3,0010102111101,8,27,0.524236,11
3,0010102111102,9,29,0.422578,10
3,0010102111110,6,26,0.522414,10
3,0010102111111,7,25,0.554098,12
3,0010102111112,7,27,0.44729,10
3,0010102111120,8,28,0.429546,10
3,0010102111121,8,27,0.455975,11
3,0010102111122,7,27,0.349809,10
3,0010102111200,11,31,0.404512,10
3,0010102111201,10,30,0.402966,10
3,0010102111202,13,33,0.306635,10
3,0010102111210,10,30,0.402008,10
3,0010102111211,8,28,0.426346,10
3,0010102111212,11,31,0.320484,10
3,0010102111220,10,30,0.314365,10
3,0010102111221,8,28,0.329061,10
3,0010102111222,11,31,0.22501,10
3,0010102112000,12,32,0.463574,10
3,0010102112001,9,29,0.435416,10
3,0010102112002,10,30,0.357097,10
3,0010102112010,12,32,0.436781,10
3,0010102112011,8,28,0.432289,10
3,0010102112012,9,29,0.337787,10
3,0010102112020,14,34,0.365743,10
3,0010102112021,10,30,0.345194,10
3,0010102112022,10,30,0.260375,10
3,0010102112100,9,29,0.432841,10
3,0010102112101,9,29,0.435812,10
3,0010102112102,9,29,0.337515,10
3,0010102112110,8,28,0.434568,10
3,0010102112111,8,27,0.461346,11
3,0010102112112,7,27,0.355133,10
3,0010102112120,10,30,0.345006,10
3,0010102112121,9,29,0.363751,10
3,0010102112122,8,28,0.25885,10
3,0010102112200,11,31,0.336262,10
3,0010102112201,10,30,0.318913,10
3,0010102112202,13,33,0.231483,10
3,0010102112210,10,30,0.318998,10
3,0010102112211,8,28,0.334369,10
3,0010102112212,11,31,0.230167,10
3,0010102112220,11,31,0.239917,10
3,0010102112221,9,29,0.238535,10
3,0010102112222,11,31,0.139578,10
3,0010102120000,10,30,0.498714,10
3,0010102120001,8,27,0.448922,11
3,0010102120002,8,28,0.390962,10
3,0010102120010,11,31,0.452222,10
3,0010102120011,9,28,0.422764,11
3,0010102120012,9,29,0.345463,10
3,0010102120020,10,30,0.39974,10
3,0010102120021,8,27,0.351158,11
3,0010102120022,8,28,0.292125,10
3,0010102120100,8,27,0.44158,11
3,0010102120101,10,30,0.41917,10
3,0010102120102,8,28,0.336267,10
3,0010102120110,9,28,0.420003,11
3,0010102120111,10,30,0.42252,10
3,0010102120112,9,29,0.324331,10
3,0010102120120,8,27,0.344789,11
3,0010102120121,10,30,0.332107,10
3,0010102120122,8,28,0.241603,10
3,0010102120200,9,29,0.369778,10
3,0010102120201,9,29,0.321713,10
3,0010102120202,12,32,0.262233,10
3,0010102120210,10,30,0.324554,10
3,0010102120211,10,30,0.305791,10
3,0010102120212,13,33,0.21925,10
3,0010102120220,9,29,0.270986,10
3,0010102120221,9,29,0.225614,10
3,0010102120222,12,32,0.163931,10
3,0010102121000,11,31,0.454334,10
3,0010102121001,8,28,0.42364,10
3,0010102121002,9,29,0.34738,10
3,0010102121010,12,32,0.425199,10
3,0010102121011,8,28,0.418634,10
3,0010102121012,9,29,0.325196,10
3,0010102121020,11,31,0.356075,10
3,0010102121021,7,27,0.332483,10
3,0010102121022,8,28,0.249903,10
3,0010102121100,8,28,0.42061,10
3,0010102121101,9,29,0.421732,10
3,0010102121102,9,28,0.324212,11
3,0010102121110,8,28,0.420605,10
3,0010102121111,8,27,0.44639,11
3,0010102121112,7,27,0.340315,10
3,0010102121120,7,27,0.331802,10
3,0010102121121,8,27,0.348917,11
3,0010102121122,7,26,0.244341,11
3,0010102121200,10,30,0.326417,10
3,0010102121201,10,29,0.305854,11
3,0010102121202,12,32,0.220672,10
3,0010102121210,10,30,0.30616,10
3,0010102121211,8,28,0.319595,10
3,0010102121212,11,31,0.215838,10
3,0010102121220,9,29,0.229213,10
3,0010102121221,8,27,0.224147,11
3,0010102121222,10,30,0.126871,10
3,0010102122000,10,30,0.405167,10
3,0010102122001,8,27,0.356501,11
3,0010102122002,8,28,0.297541,10
3,0010102122010,11,31,0.359502,10
3,0010102122011,8,27,0.337023,11
3,0010102122012,8,28,0.253609,10
3,0010102122020,12,32,0.306304,10
3,0010102122021,8,28,0.259731,10
3,0010102122022,8,28,0.199003,10
3,0010102122100,8,27,0.350065,11
3,0010102122101,9,29,0.336709,10
3,0010102122102,8,27,0.246705,11
3,0010102122110,8,27,0.336524,11
3,0010102122111,8,27,0.35424,11
3,0010102122112,7,26,0.249542,11
3,0010102122120,8,28,0.254986,10
3,0010102122121,9,29,0.257974,10
3,0010102122122,7,26,0.157307,11
3,0010102122200,9,29,0.276399,10
3,0010102122201,9,28,0.230818,11
3,0010102122202,11,31,0.169298,10
3,0010102122210,9,29,0.233,10
3,0010102122211,8,27,0.229301,11
3,0010102122212,10,30,0.131373,10
3,0010102122220,9,29,0.177988,10
3,0010102122221,8,27,0.138799,11
3,0010102122222,9,29,0.073175,10
3,0010102200000,7,27,0.540165,10
3,0010102200001,6,24,0.454142,12
3,0010102200002,7,27,0.446098,10
3,0010102200010,8,28,0.460808,10
3,0010102200011,6,25,0.384993,11
3,0010102200012,8,28,0.360935,10
3,0010102200020,9,29,0.453534,10
3,0010102200021,7,26,0.361751,11
3,0010102200022,7,27,0.366507,10
3,0010102200100,6,24,0.438363,12
3,0010102200101,7,26,0.366775,11
3,0010102200102,7,27,0.336653,10
3,0010102200110,6,25,0.371953,11
3,0010102200111,7,26,0.319562,11
3,0010102200112,8,28,0.265003,10
3,0010102200120,7,26,0.3448,11
3,0010102200121,9,28,0.268241,11
3,0010102200122,7,27,0.247931,10
3,0010102200200,8,28,0.428365,10
3,0010102200201,8,28,0.33453,10
3,0010102200202,11,31,0.344408,10
3,0010102200210,9,29,0.341866,10
3,0010102200211,9,29,0.258256,10
3,0010102200212,12,32,0.250395,10
3,0010102200220,8,28,0.350759,10
3,0010102200221,8,28,0.249301,10
3,0010102200222,11,31,0.282067,10
3,0010102201000,7,27,0.464964,10
3,0010102201001,6,24,0.38845,12
3,0010102201002,7,27,0.365424,10
3,0010102201010,9,29,0.394135,10
3,0010102201011,5,25,0.333847,10
3,0010102201012,8,28,0.288774,10
3,0010102201020,9,29,0.373361,10
3,0010102201021,6,25,0.291213,11
3,0010102201022,6,26,0.279555,10
3,0010102201100,6,24,0.375221,12
3,0010102201101,7,25,0.321539,12
3,0010102201102,7,26,0.26848,11
3,0010102201110,5,25,0.324905,10
3,0010102201111,6,24,0.299281,12
3,0010102201112,6,26,0.218079,10
3,0010102201120,6,25,0.277144,11
3,0010102201121,7,25,0.223853,12
3,0010102201122,6,24,0.171781,12
3,0010102201200,8,28,0.346435,10
3,0010102201201,8,27,0.262043,11
3,0010102201202,10,30,0.255451,10
3,0010102201210,9,29,0.26829,10
3,0010102201211,7,27,0.205031,10
3,0010102201212,10,30,0.167098,10
3,0010102201220,7,27,0.262385,10
3,0010102201221,7,25,0.167928,12
3,0010102201222,8,28,0.188397,10
3,0010102202000,10,30,0.458154,10
3,0010102202001,7,27,0.366728,10
3,0010102202002,7,27,0.370629,10
3,0010102202010,11,31,0.37385,10
3,0010102202011,7,27,0.292843,10
3,0010102202012,7,27,0.279157,10
3,0010102202020,11,31,0.377367,10
3,0010102202021,7,27,0.278737,10
3,0010102202022,7,27,0.302118,10
3,0010102202100,7,27,0.349853,10
3,0010102202101,8,28,0.273635,10
3,0010102202102,7,26,0.252596,11
3,0010102202110,7,27,0.279064,10
3,0010102202111,7,26,0.227519,11
3,0010102202112,6,25,0.173174,11
3,0010102202120,7,27,0.260207,10
3,0010102202121,8,27,0.17576,11
3,0010102202122,6,25,0.174715,11
3,0010102202200,8,28,0.354738,10
3,0010102202201,8,27,0.253714,11
3,0010102202202,10,30,0.284947,10
3,0010102202210,8,28,0.261741,10
3,0010102202211,7,26,0.168669,11
3,0010102202212,9,29,0.185925,10
3,0010102202220,8,28,0.28976,10
3,0010102202221,7,26,0.1822,11
3,0010102202222,8,28,0.246425,10
3,0010102210000,9,29,0.453455,10
3,0010102210001,6,26,0.378938,10
3,0010102210002,9,29,0.352987,10
3,0010102210010,9,29,0.384418,10
3,0010102210011,6,26,0.327352,10
3,0010102210012,9,29,0.278317,10
3,0010102210020,11,31,0.361014,10
3,0010102210021,8,28,0.281085,10
3,0010102210022,9,29,0.265931,10
3,0010102210100,6,26,0.366246,10
3,0010102210101,7,27,0.316233,10
3,0010102210102,9,29,0.258963,10
3,0010102210110,6,26,0.319238,10
3,0010102210111,7,27,0.298647,10
3,0010102210112,9,29,0.213409,10
3,0010102210120,8,28,0.267686,10
3,0010102210121,9,29,0.219609,10
3,0010102210122,9,29,0.161219,10
3,0010102210200,10,30,0.333774,10
3,0010102210201,10,30,0.251645,10
3,0010102210202,13,33,0.241409,10
3,0010102210210,10,30,0.257626,10
3,0010102210211,10,30,0.199251,10
