架次编号,无人机编号,能源组件编号,关联路线机型,关联路线停靠,悬停经度,悬停纬度,悬停AGL_m,起飞时刻_s,到位时刻_s,撤离时刻_s,返航时刻_s,E_kWh,电量是否达标
RT001,R01,R-能源组件01,C,O01->S007->S003->S015->O01,109.20657735,23.03067085,300.0,52.96395661440533,633.7092700195312,2690.7129446273575,3107.4640853640262,0.8262677096908309,True
RT002,R02,R-能源组件02,C,O01->S010->S014->O01,109.27476034,23.02023646,50.0,0.0,590.6952447542056,2195.822926244146,2599.374383360005,0.714239280294355,True
RT003,R02,R-能源组件03,B,O01->S002->O01,109.20052604,23.0614774,150.0,2899.374383360005,3694.9094515156544,4957.266044335256,5590.685624820007,0.7190879148922099,True
RT004,R01,R-能源组件04,C,O01->S013->S012->O01,109.25330955999999,23.0544652,300.0,3407.4640853640267,4075.02892526331,5780.289263234714,6266.449822535039,0.7890652618437148,True
RT005,R02,R-能源组件05,C,O01->S005->S004->O01,109.22800172,23.07850936,200.0,5890.685624820007,6716.540166746057,8493.423104191086,9142.489380634552,0.9081537269736923,True
RT006,R01,R-能源组件06,B,O01->S008->O01,109.19848918,23.05847175,100.0,6566.449822535039,7357.194661152545,8717.291704924104,9348.472910322209,0.7437223705580682,True
RT007,R02,R-能源组件02,C,O01->S009->S002->O01,109.20052604,23.0614774,150.0,9442.489380634554,10238.024448790204,11890.02002001865,12523.439600503401,0.8381442694060243,True
RT008,R01,R-能源组件01,B,O01->S005->O01,109.19848918,23.05847175,100.0,9648.472910322209,10439.217748939716,11416.234997938976,12047.416203337081,0.6266702110443111,True
RT009,R01,R-能源组件03,B,O01->S007->O01,109.19848918,23.05847175,100.0,14796.655023242949,15587.399861860456,16491.35746324265,17122.538668640755,0.604346429827985,True
RT010,R02,R-能源组件04,B,O01->S013->O01,109.23521007,23.07132912,300.0,16297.391828605667,17065.560674505672,17926.388484980325,18515.98207809306,0.5929130100118039,True
RT011,R01,R-能源组件05,B,O01->S002->O01,109.20052604,23.0614774,150.0,17422.538668640755,18218.073736796403,19450.430329616007,20083.849910100755,0.7099212482255431,True
RT012,R02,R-能源组件06,B,O01->S002->O01,109.20052604,23.0614774,150.0,18815.98207809306,19611.51714624871,20843.873739068313,21477.29331955306,0.7099212482255431,True
RT013,R01,R-能源组件01,B,O01->S010->O01,109.2688695,23.030254300000003,50.0,20383.849910100755,20957.51050834412,21834.44778531351,22217.615352754467,0.4837018175739186,True
RT014,R02,R-能源组件02,B,O01->S003->O01,109.19848918,23.05847175,300.0,21777.29331955306,22618.038158170566,23959.423214708502,24657.27108677327,0.7557748806317448,True
RT015,R01,R-能源组件03,B,O01->S007->O01,109.19848918,23.05847175,100.0,22517.615352754467,23308.360191371972,24212.31779275417,24843.498998152274,0.604346429827985,True
RT016,R02,R-能源组件04,B,O01->S005->S004->O01,109.22800172,23.07850936,200.0,24957.27108677327,25783.125628699323,27402.52262864435,28051.588905087818,0.8600330238486924,True
RT017,R01,R-能源组件05,B,O01->S002->O01,109.20052604,23.0614774,150.0,25143.498998152274,25939.034066307922,27171.390659127526,27804.810239612274,0.7099212482255431,True
RT018,R01,R-能源组件06,B,O01->S002->O01,109.20052604,23.0614774,150.0,28104.810239612274,28900.345307767922,30132.701900587526,30766.121481072274,0.7099212482255431,True
RT019,R02,R-能源组件01,B,O01->S014->O01,109.27476034,23.02023646,50.0,28351.588905087818,28942.284149842024,30021.22183123286,30424.77328834872,0.553459002486295,True
RT020,R02,R-能源组件02,B,O01->S012->O01,109.25709409999999,23.048621150000002,300.0,30724.77328834872,31385.489533896063,32649.14673833424,33134.87163663224,0.6443015179081416,True
RT021,R01,R-能源组件03,B,O01->S005->O01,109.19848918,23.05847175,100.0,31066.121481072274,31856.86631968978,32833.883568689045,33465.06477408715,0.6266702110443111,True
