任务组,服务区,运输架次,中继架次,箱数,质量_kg,运输能耗_kWh,中继能耗_kWh,作业时长_s
1,S003、S005、S006、S009、S010、S013、S014,8,7,32,299.0,23.221809613276502,4.609747221616898,31753.319254219903
2,S001、S002、S004、S007、S008、S011、S012、S015,8,6,48,459.0,34.95738139056913,4.5983172097989655,33613.11359323606
