架次编号,机型编号,无人机编号,电池编号,起飞时刻_s,返航时刻_s,停靠序列
T001,C,U07,C-电池01,97.03556859797504,2701.614407916515,O01->S007->S015->O01
T002,C,U08,C-电池02,272.91713114393053,2313.621555994782,O01->S002->O01
T005,C,U08,C-电池03,2313.621555994782,4024.3629110058205,O01->S001->O01
T006,C,U07,C-电池04,2701.614407916515,4262.952490129263,O01->S006->O01
T003,B,U05,B-电池01,3331.110475492046,5255.691547524624,O01->S012->O01
T004,B,U06,B-电池02,3456.692101151508,5326.077866852239,O01->S014->O01
T007,C,U08,C-电池02,4693.972804115398,6206.714159126436,O01->S001->O01
T008,C,U07,C-电池01,5432.567956009695,8121.237844351547,O01->S011->S008->O01
T009,B,U05,B-电池03,6271.387184144283,8086.8766614853685,O01->S002->O01
T010,B,U06,B-电池04,9011.849682783055,10562.36261771143,O01->S010->O01
T011,C,U08,C-电池03,9164.78148830247,11534.077625569571,O01->S003->O01
T012,B,U05,B-电池02,11411.25473092218,12921.16921213251,O01->S013->O01
T013,C,U07,C-电池04,12549.323436777191,14862.842566005076,O01->S004->O01
T014,B,U06,B-电池01,14008.213534976028,16087.941626181931,O01->S003->O01
T015,C,U08,C-电池02,15905.077696568978,17775.732458589075,O01->S005->O01
T016,B,U05,B-电池03,17257.951779898063,18814.131720524183,O01->S009->O01
