架次编号,机型编号,无人机编号,电池编号,起飞时刻_s,返航时刻_s,停靠序列
T001,C,U07,C-电池01,0.0,2912.762572312905,O01->S007->S003->S015->O01
T003,B,U05,B-电池01,0.0,1104.1114854228224,O01->S001->O01
T004,B,U06,B-电池02,0.0,1104.1114854228224,O01->S001->O01
T002,C,U08,C-电池02,48.744885867486914,2427.9466200918023,O01->S010->S014->O01
T006,B,U06,B-电池04,1104.1114854228224,2251.166954517081,O01->S006->O01
T007,B,U06,B-电池01,2251.166954517081,3355.2784399399034,O01->S001->O01
T009,C,U07,C-电池04,2912.762572312905,4276.100654525653,O01->S006->O01
T005,B,U05,B-电池03,3274.394504005889,5029.883981346975,O01->S002->O01
T010,B,U06,B-电池02,3355.2784399399034,4519.389925362726,O01->S001->O01
T008,C,U08,C-电池03,3546.4361957711226,5924.100991139987,O01->S013->S012->O01
T013,B,U05,B-电池01,5029.883981346975,6094.735604703874,O01->S011->O01
T015,B,U05,B-电池02,6094.735604703874,7606.002247878202,O01->S001->S011->O01
T011,C,U07,C-电池02,6248.219849363246,8632.678771305344,O01->S005->S004->O01
T012,B,U06,B-电池04,6915.458217060748,8815.37543783426,O01->S008->O01
T017,B,U06,B-电池01,8815.37543783426,9880.227061191159,O01->S011->O01
T014,C,U08,C-电池01,9752.095366758951,11980.792441283298,O01->S009->S002->O01
T018,B,U06,B-电池02,9880.227061191159,10984.33854661398,O01->S001->O01
T016,B,U05,B-电池03,10043.95081778737,11494.55531532179,O01->S005->O01
T019,B,U06,B-电池04,10984.33854661398,12088.450032036802,O01->S001->O01
T020,B,U05,B-电池01,11494.55531532179,12598.666800744611,O01->S001->O01
T021,B,U06,B-电池02,12089.194020319763,13193.305505742585,O01->S001->O01
T022,B,U05,B-电池03,12853.788044446408,14000.843513540667,O01->S006->O01
T023,B,U06,B-电池04,13193.305505742585,14297.416991165406,O01->S001->O01
T024,B,U05,B-电池01,14000.843513540667,15104.954998963489,O01->S001->O01
T025,B,U06,B-电池02,14298.160979448367,15402.272464871188,O01->S001->O01
T026,B,U05,B-电池03,15129.308803510845,16645.06673326218,O01->S007->O01
T027,B,U06,B-电池04,15402.272464871188,16506.38395029401,O01->S001->O01
T028,B,U06,B-电池01,16506.38395029401,17610.49543571683,O01->S001->O01
T029,B,U05,B-电池02,16645.06673326218,18034.98121447251,O01->S013->O01
T030,B,U06,B-电池04,17827.55878928664,19523.048266627724,O01->S002->O01
T031,B,U05,B-电池03,19221.002198738945,20916.49167608003,O01->S002->O01
T032,B,U06,B-电池01,20525.885209271855,21956.39814420023,O01->S010->O01
T033,B,U05,B-电池02,20916.49167608003,22063.54714517429,O01->S006->O01
T034,B,U06,B-电池04,22113.336778776036,24133.06486998194,O01->S003->O01
T035,B,U05,B-电池03,22850.269133022364,24366.0270627737,O01->S007->O01
T036,B,U06,B-电池02,25357.85869754698,27513.927162335756,O01->S005->S004->O01
T037,B,U05,B-电池01,25548.519118798158,27244.008596139243,O01->S002->O01
T039,B,U06,B-电池04,28457.535020610252,30206.920786310984,O01->S014->O01
T038,B,U05,B-电池03,28509.830360258158,30205.319837599243,O01->S002->O01
T040,B,U05,B-电池01,30959.61504862588,32764.19612065846,O01->S012->O01
T041,B,U06,B-电池02,31461.599388537437,32912.20388607186,O01->S005->O01
T042,B,U05,B-电池04,33830.34954409741,35280.95404163183,O01->S005->O01
T043,B,U06,B-电池03,34144.073168612864,35983.990389386374,O01->S008->O01
T044,B,U05,B-电池02,36536.83236016366,38408.281044648706,O01->S004->O01
T045,B,U06,B-电池01,37149.741642142224,38665.49957189356,O01->S007->O01
T046,B,U05,B-电池04,39618.96021791731,41959.29754510643,O01->S004->S008->O01
T047,B,U06,B-电池03,39809.01496649512,41768.743057701024,O01->S003->O01
T048,B,U06,B-电池01,42958.99273371533,44918.720824921234,O01->S003->O01
T049,B,U05,B-电池02,43176.32354786271,45136.05163906862,O01->S003->O01
T050,B,U06,B-电池03,46121.93543623828,47961.85265701179,O01->S008->O01
T051,B,U05,B-电池04,46363.27528637649,48234.72397086154,O01->S004->O01
T052,B,U06,B-电池01,49200.75406642454,50636.93400705066,O01->S009->O01
T053,B,U05,B-电池02,49467.863621078766,50918.468118613186,O01->S005->O01
T054,B,U06,B-电池03,51868.22958964049,53827.9576808464,O01->S003->O01
T055,B,U05,B-电池04,52084.04076012228,53791.30029941601,O01->S015->O01
