预设名称,f1_及时性,f2_makespan_s,f3_总能耗_kWh,f4_架次数,硬约束违反数,是否主方案
均衡,2051542.6344868941,19379.38384389104,67.38725543526151,29,18,True
紧迫优先,2051542.6344868941,19379.38384389104,67.38725543526151,29,18,False
能耗优先,2051542.6344868941,19379.38384389104,67.38725543526151,29,18,False
