任务组,服务区,运输架次,中继架次,箱数,质量_kg,运输能耗_kWh,中继能耗_kWh,作业时长_s
1,S005、S007、S008、S010、S011、S014、S015,5,5,28,249.0,19.888234271173594,3.3621092961247836,23143.742108499635
2,S001、S002、S004,5,3,29,294.0,20.49045764859346,2.346614782092913,18028.55544490852
3,S003、S006、S009、S012、S013,6,5,23,215.0,17.800499084078584,3.499340353198167,24194.135294047817
