预设名称,f1_及时性,f2_makespan_s,f3_总能耗_kWh,f4_架次数,硬约束违反数,是否主方案
均衡,200895.03350068146,10173.747927269704,58.17919100384564,16,5,True
紧迫优先,200895.03350068146,10173.747927269704,58.17919100384564,16,5,False
能耗优先,200895.03350068146,10173.747927269704,58.17919100384564,16,5,False
