路线编号,机型编号,停靠序列,箱数,总质量_kg,总体积_m3,E_route_kWh,T_route_s,通信保障方式,货箱列表
R001,C,O01->S001->O01,6,76,0.17,2.9216521037055703,1512.7413550110386,直连,S001-WAT-01|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-HYG-01
R002,C,O01->S001->O01,9,78,0.224,2.9997943195296233,1710.7413550110386,直连,S001-MED-01|S001-MED-02|S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-02
R003,B,O01->S002->O01,3,25,0.067,2.709166835896415,1815.4894773410856,"中继(109.20053,23.06148,AGL150m)",S002-MED-01|S002-WAT-04|S002-FOD-02
R004,C,O01->S002->O01,5,56,0.14400000000000002,5.712066146906887,2040.7044248508514,"中继(109.20053,23.06148,AGL150m)",S002-WAT-01|S002-WAT-02|S002-WAT-03|S002-FOD-01|S002-HYG-01
R005,B,O01->S003->O01,3,25,0.067,2.777594563732003,2079.728091205903,"中继(109.19849,23.05847,AGL300m)",S003-MED-01|S003-WAT-03|S003-FOD-02
R006,C,O01->S003->O01,5,56,0.14400000000000002,5.760178553847352,2369.2961372671016,"中继(109.19849,23.05847,AGL300m)",S003-WAT-01|S003-WAT-02|S003-WAT-04|S003-FOD-01|S003-HYG-01
R007,C,O01->S004->O01,6,59,0.156,6.147778242554963,2313.5191292278855,"中继(109.22800,23.07851,AGL200m)",S004-MED-01|S004-WAT-01|S004-WAT-02|S004-WAT-03|S004-FOD-01|S004-HYG-01
R008,C,O01->S005->O01,6,59,0.156,4.212332678253565,1870.6547620200963,"中继(109.19849,23.05847,AGL100m)",S005-MED-01|S005-WAT-01|S005-WAT-02|S005-WAT-03|S005-FOD-01|S005-HYG-01
R009,C,O01->S006->O01,6,59,0.156,2.596601829343914,1561.3380822127483,直连,S006-MED-01|S006-WAT-01|S006-WAT-02|S006-WAT-03|S006-FOD-01|S006-HYG-01
R010,B,O01->S009->O01,3,25,0.067,2.0924839199484895,1556.17994062612,"中继(109.19849,23.05847,AGL100m)",S009-MED-01|S009-WAT-01|S009-FOD-01
R011,B,O01->S010->O01,3,25,0.067,1.8202689637505212,1550.5129349283739,"中继(109.26887,23.03025,AGL50m)",S010-MED-01|S010-WAT-01|S010-FOD-01
R012,B,O01->S012->O01,3,25,0.067,2.750471619951881,1924.5810720325776,"中继(109.25709,23.04862,AGL300m)",S012-MED-01|S012-WAT-01|S012-FOD-01
R013,B,O01->S013->O01,3,25,0.067,1.8231685972549476,1509.91448121033,"中继(109.23521,23.07133,AGL300m)",S013-MED-01|S013-WAT-01|S013-FOD-01
R014,B,O01->S014->O01,3,25,0.067,2.1391805071457104,1869.385765700731,"中继(109.27476,23.02024,AGL50m)",S014-MED-01|S014-WAT-01|S014-FOD-01
R015,C,O01->S011->S008->O01,8,70,0.196,6.342687719860198,2688.669888341852,"中继(109.19849,23.05847,AGL100m)",S008-MED-01|S008-WAT-01|S008-WAT-02|S008-FOD-01|S008-HYG-01|S011-MED-01|S011-WAT-01|S011-FOD-01
R016,C,O01->S007->S015->O01,8,70,0.196,5.373764402163598,2604.57883931854,"中继(109.19849,23.05847,AGL100m)",S007-MED-01|S007-WAT-01|S007-WAT-02|S007-FOD-01|S007-HYG-01|S015-MED-01|S015-WAT-01|S015-FOD-01
