任务组,服务区,运输架次,中继架次,箱数,质量_kg,运输能耗_kWh,中继能耗_kWh,作业时长_s
1,S001、S002、S003、S009、S012、S013,9,7,40,391.0,29.546576660773166,4.997086522185467,35290.05378072396
2,S004、S005、S006、S007、S008、S010、S011、S014、S015,7,6,40,367.0,28.63261434307247,4.2109779092303965,30076.379066732006
