candidate_id,lon,lat,agl_m,altitude_msl_m,gateway_link_margin_db,gateway_los_blocked,energy_margin_at_60s_kwh,max_service_s,demand_samples,covered_samples,coverage_ratio,backhaul_available,backhaul_margin_db
P0001,109.18350055679431,22.991644124005646,60.0,264.0715026855469,1.628825896388193,True,2.2908295599696737,7557.260378082567,81,0,0.0,True,1.628825896388193
P0002,109.18350055679431,22.991644124005646,150.0,354.0715026855469,1.628825896388193,True,2.2988260877474516,7583.430832628022,81,0,0.0,True,1.628825896388193
P0003,109.18350055679431,22.991644124005646,300.0,504.0715026855469,1.628825896388193,True,2.2868239425029944,7544.151084555252,81,5,0.06172839506172839,True,1.628825896388193
P0004,109.18350055679431,23.0052097,60.0,416.7322998046875,2.203129622363562,True,2.305881368406604,7606.520842057978,81,0,0.0,True,2.203129622363562
P0005,109.18350055679431,23.0052097,150.0,506.7322998046875,2.203129622363562,True,2.300752980001758,7589.737025460297,81,3,0.037037037037037035,True,2.203129622363562
P0006,109.18350055679431,23.0052097,300.0,656.7322998046875,2.203129622363562,True,2.2874254337054616,7546.119601217874,81,10,0.12345679012345678,True,2.203129622363562
P0007,109.18350055679431,23.018775275994358,60.0,480.2710266113281,1.9965973712042455,True,2.2707117295851575,7491.420205915062,81,28,0.345679012345679,True,1.9965973712042455
P0008,109.18350055679431,23.018775275994358,150.0,570.2710266113281,1.9965973712042455,True,2.2787082573629354,7517.590660460517,81,36,0.4444444444444444,True,1.9965973712042455
P0009,109.18350055679431,23.018775275994358,300.0,720.2710266113281,11.996597371204246,False,2.2767932956846306,7511.323513149699,81,55,0.6790123456790124,True,11.996597371204246
P0010,109.18350055679431,23.032340851988714,60.0,363.5263671875,1.1056758715741921,True,2.247827122876239,7416.525129413145,81,53,0.654320987654321,True,1.1056758715741921
P0011,109.18350055679431,23.032340851988714,150.0,453.5263671875,1.1056758715741921,True,2.255823650654017,7442.695583958599,81,53,0.654320987654321,True,1.1056758715741921
P0012,109.18350055679431,23.032340851988714,300.0,603.5263671875,1.1056758715741921,True,2.2642425644693622,7470.24839280882,81,53,0.654320987654321,True,1.1056758715741921
P0013,109.19814331358863,22.991644124005646,60.0,358.11248779296875,4.269270740449571,True,2.3565179091264365,7772.240429868336,81,1,0.012345679012345678,True,4.269270740449571
P0014,109.19814331358863,22.991644124005646,150.0,448.11248779296875,4.269270740449571,True,2.349832812771893,7750.361932708012,81,2,0.024691358024691357,True,4.269270740449571
P0015,109.19814331358863,22.991644124005646,300.0,598.1124877929688,14.26927074044957,False,2.3365052664755965,7706.744508465588,81,9,0.1111111111111111,True,14.26927074044957
P0016,109.19814331358863,23.0052097,60.0,334.15802001953125,5.38987671265653,True,2.374312478891425,7830.477203644662,81,1,0.012345679012345678,True,5.38987671265653
P0017,109.19814331358863,23.0052097,150.0,424.15802001953125,5.38987671265653,True,2.3717346919583737,7822.040810045585,81,3,0.037037037037037035,True,5.38987671265653
P0018,109.19814331358863,23.0052097,300.0,574.1580200195312,5.38987671265653,True,2.358407145662077,7778.423385803161,81,10,0.12345679012345678,True,5.38987671265653
P0019,109.19814331358863,23.018775275994358,60.0,456.1867980957031,4.9698052864508355,True,2.3418706519818473,7724.30395194059,81,22,0.2716049382716049,True,4.9698052864508355
P0020,109.19814331358863,23.018775275994358,150.0,546.1867980957031,4.9698052864508355,True,2.349867179759625,7750.474406486045,81,56,0.691358024691358,True,4.9698052864508355
P0021,109.19814331358863,23.018775275994358,300.0,696.1867980957031,14.969805286450836,False,2.34044973576362,7719.653680680937,81,59,0.7283950617283951,True,14.969805286450836
