candidate_id,demand_id,covered,sample_count,failed_sample_t_s,backhaul_available,backhaul_margin_db
P0001,D-T004-01,False,426,750.5149475097656,True,1.626649821382344
P0001,D-T005-01,False,469,2246.017937011719,True,1.626649821382344
P0001,D-T006-01,False,513,5874.491058349609,True,1.626649821382344
P0001,D-T007-01,False,644,3953.5092700195314,True,1.626649821382344
P0001,D-T008-01,False,320,3138.8371114095053,True,1.626649821382344
P0001,D-T009-01,False,362,5439.204533691406,True,1.626649821382344
P0001,D-T010-01,False,264,3795.4669311523435,True,1.626649821382344
P0001,D-T011-01,False,310,6783.520317382812,True,1.626649821382344
P0001,D-T014-01,False,215,2131.391058349609,True,1.626649821382344
P0001,D-T015-01,False,400,4563.936444091797,True,1.626649821382344
P0001,D-T016-01,False,275,8657.740901692707,True,1.626649821382344
P0001,D-T017-01,False,609,8007.340901692708,True,1.626649821382344
P0001,D-T018-01,False,207,2265.6252990722655,True,1.626649821382344
P0001,D-T020-01,False,342,6824.100309010106,True,1.626649821382344
P0001,D-T021-01,False,401,749.8744852701823,True,1.626649821382344
P0001,D-T022-01,False,198,744.4939412434896,True,1.626649821382344
P0001,D-T023-01,False,309,2733.549129231771,True,1.626649821382344
P0001,D-T024-01,False,316,5562.833085123698,True,1.626649821382344
P0001,D-T025-01,False,423,3812.691058349609,True,1.626649821382344
P0002,D-T004-01,False,426,750.5149475097656,True,1.6219860428895458
P0002,D-T005-01,False,469,2246.017937011719,True,1.6219860428895458
P0002,D-T006-01,False,513,5874.491058349609,True,1.6219860428895458
P0002,D-T007-01,False,644,3953.5092700195314,True,1.6219860428895458
P0002,D-T008-01,False,320,3138.8371114095053,True,1.6219860428895458
P0002,D-T009-01,False,362,5439.204533691406,True,1.6219860428895458
P0002,D-T010-01,False,264,3795.4669311523435,True,1.6219860428895458
P0002,D-T011-01,False,310,6783.520317382812,True,1.6219860428895458
P0002,D-T014-01,False,215,2131.391058349609,True,1.6219860428895458
P0002,D-T015-01,False,400,4563.936444091797,True,1.6219860428895458
P0002,D-T016-01,False,275,8657.740901692707,True,1.6219860428895458
P0002,D-T017-01,False,609,8007.340901692708,True,1.6219860428895458
P0002,D-T018-01,False,207,2265.6252990722655,True,1.6219860428895458
P0002,D-T020-01,False,342,6824.100309010106,True,1.6219860428895458
P0002,D-T021-01,False,401,749.8744852701823,True,1.6219860428895458
P0002,D-T022-01,False,198,744.4939412434896,True,1.6219860428895458
P0002,D-T023-01,False,309,2733.549129231771,True,1.6219860428895458
P0002,D-T024-01,False,316,5562.833085123698,True,1.6219860428895458
P0002,D-T025-01,False,423,3812.691058349609,True,1.6219860428895458
P0003,D-T004-01,False,426,750.5149475097656,True,1.6084612585428886
P0003,D-T005-01,False,469,2246.017937011719,True,1.6084612585428886
P0003,D-T006-01,False,513,5874.491058349609,True,1.6084612585428886
P0003,D-T007-01,False,644,3953.5092700195314,True,1.6084612585428886
P0003,D-T008-01,False,320,3138.8371114095053,True,1.6084612585428886
P0003,D-T009-01,False,362,5439.204533691406,True,1.6084612585428886
P0003,D-T010-01,False,264,3795.4669311523435,True,1.6084612585428886
P0003,D-T011-01,False,310,6783.520317382812,True,1.6084612585428886
P0003,D-T014-01,False,215,2131.391058349609,True,1.6084612585428886
P0003,D-T015-01,False,400,4563.936444091797,True,1.6084612585428886
P0003,D-T016-01,False,275,8657.740901692707,True,1.6084612585428886
P0003,D-T017-01,False,609,8007.340901692708,True,1.6084612585428886
P0003,D-T018-01,False,207,2265.6252990722655,True,1.6084612585428886
P0003,D-T020-01,False,342,6824.100309010106,True,1.6084612585428886
P0003,D-T021-01,False,401,749.8744852701823,True,1.6084612585428886
P0003,D-T022-01,False,198,744.4939412434896,True,1.6084612585428886
P0003,D-T023-01,False,309,2733.549129231771,True,1.6084612585428886
P0003,D-T024-01,False,316,5570.833085123698,True,1.6084612585428886
P0003,D-T025-01,False,423,3812.691058349609,True,1.6084612585428886
P0004,D-T004-01,False,426,750.5149475097656,True,2.189872002701378
P0004,D-T005-01,False,469,2246.017937011719,True,2.189872002701378
P0004,D-T006-01,False,513,5874.491058349609,True,2.189872002701378
P0004,D-T007-01,False,644,3953.5092700195314,True,2.189872002701378
P0004,D-T008-01,False,320,3138.8371114095053,True,2.189872002701378
P0004,D-T009-01,False,362,5439.204533691406,True,2.189872002701378
P0004,D-T010-01,False,264,3795.4669311523435,True,2.189872002701378
P0004,D-T011-01,False,310,6783.520317382812,True,2.189872002701378
P0004,D-T014-01,False,215,2131.391058349609,True,2.189872002701378
P0004,D-T015-01,False,400,4563.936444091797,True,2.189872002701378
P0004,D-T016-01,False,275,8657.740901692707,True,2.189872002701378
P0004,D-T017-01,False,609,8007.340901692708,True,2.189872002701378
P0004,D-T018-01,False,207,2265.6252990722655,True,2.189872002701378
P0004,D-T020-01,False,342,6824.100309010106,True,2.189872002701378
P0004,D-T021-01,False,401,749.8744852701823,True,2.189872002701378
P0004,D-T022-01,False,198,744.4939412434896,True,2.189872002701378
P0004,D-T023-01,False,309,2733.549129231771,True,2.189872002701378
P0004,D-T024-01,False,316,5562.833085123698,True,2.189872002701378
P0004,D-T025-01,False,423,3812.691058349609,True,2.189872002701378
P0005,D-T004-01,False,426,750.5149475097656,True,2.179546185636468
P0005,D-T005-01,False,469,2246.017937011719,True,2.179546185636468
P0005,D-T006-01,False,513,5874.491058349609,True,2.179546185636468
P0005,D-T007-01,False,644,3953.5092700195314,True,2.179546185636468
P0005,D-T008-01,False,320,3138.8371114095053,True,2.179546185636468
P0005,D-T009-01,False,362,5439.204533691406,True,2.179546185636468
P0005,D-T010-01,False,264,3795.4669311523435,True,2.179546185636468
P0005,D-T011-01,False,310,6783.520317382812,True,2.179546185636468
P0005,D-T014-01,False,215,2131.391058349609,True,2.179546185636468
P0005,D-T015-01,False,400,4563.936444091797,True,2.179546185636468
P0005,D-T016-01,False,275,8657.740901692707,True,2.179546185636468
P0005,D-T017-01,False,609,8007.340901692708,True,2.179546185636468
P0005,D-T018-01,False,207,2265.6252990722655,True,2.179546185636468
P0005,D-T020-01,False,342,6824.100309010106,True,2.179546185636468
P0005,D-T021-01,False,401,749.8744852701823,True,2.179546185636468
P0005,D-T022-01,False,198,744.4939412434896,True,2.179546185636468
P0005,D-T023-01,False,309,2733.549129231771,True,2.179546185636468
P0005,D-T024-01,False,316,5562.833085123698,True,2.179546185636468
P0005,D-T025-01,False,423,3812.691058349609,True,2.179546185636468
P0006,D-T004-01,False,426,750.5149475097656,True,2.155853214198075
P0006,D-T005-01,False,469,2246.017937011719,True,2.155853214198075
P0006,D-T006-01,False,513,5874.491058349609,True,2.155853214198075
P0006,D-T007-01,False,644,3953.5092700195314,True,2.155853214198075
P0006,D-T008-01,False,320,3138.8371114095053,True,2.155853214198075
P0006,D-T009-01,False,362,5439.204533691406,True,2.155853214198075
P0006,D-T010-01,False,264,3795.4669311523435,True,2.155853214198075
P0006,D-T011-01,False,310,6783.520317382812,True,2.155853214198075
P0006,D-T014-01,False,215,2131.391058349609,True,2.155853214198075
P0006,D-T015-01,False,400,4565.936444091797,True,2.155853214198075
P0006,D-T016-01,False,275,8657.740901692707,True,2.155853214198075
P0006,D-T017-01,False,609,8007.340901692708,True,2.155853214198075
P0006,D-T018-01,False,207,2265.6252990722655,True,2.155853214198075
P0006,D-T020-01,False,342,6824.100309010106,True,2.155853214198075
P0006,D-T021-01,False,401,749.8744852701823,True,2.155853214198075
P0006,D-T022-01,False,198,744.4939412434896,True,2.155853214198075
P0006,D-T023-01,False,309,2733.549129231771,True,2.155853214198075
P0006,D-T024-01,False,316,5562.833085123698,True,2.155853214198075
P0006,D-T025-01,False,423,3812.691058349609,True,2.155853214198075
P0007,D-T004-01,False,426,750.5149475097656,True,1.9772923738458559
P0007,D-T005-01,False,469,2246.017937011719,True,1.9772923738458559
P0007,D-T006-01,False,513,6289.200266598318,True,1.9772923738458559
P0007,D-T007-01,False,644,4424.417219926769,True,1.9772923738458559
P0007,D-T008-01,False,320,3138.8371114095053,True,1.9772923738458559
P0007,D-T009-01,False,362,5439.204533691406,True,1.9772923738458559
P0007,D-T010-01,False,264,3795.4669311523435,True,1.9772923738458559
P0007,D-T011-01,False,310,6783.520317382812,True,1.9772923738458559
P0007,D-T014-01,True,215,,True,1.9772923738458559
P0007,D-T015-01,False,400,4563.936444091797,True,1.9772923738458559
P0007,D-T016-01,False,275,8657.740901692707,True,1.9772923738458559
P0007,D-T017-01,False,609,8007.340901692708,True,1.9772923738458559
P0007,D-T018-01,False,207,2265.6252990722655,True,1.9772923738458559
P0007,D-T020-01,False,342,6824.100309010106,True,1.9772923738458559
P0007,D-T021-01,False,401,749.8744852701823,True,1.9772923738458559
P0007,D-T022-01,False,198,744.4939412434896,True,1.9772923738458559
P0007,D-T023-01,False,309,2733.549129231771,True,1.9772923738458559
P0007,D-T024-01,False,316,5562.833085123698,True,1.9772923738458559
P0007,D-T025-01,False,423,4183.522387773448,True,1.9772923738458559
P0008,D-T004-01,False,426,750.5149475097656,True,1.9654724122397624
P0008,D-T005-01,False,469,2246.017937011719,True,1.9654724122397624
P0008,D-T006-01,False,513,6289.200266598318,True,1.9654724122397624
P0008,D-T007-01,False,644,4424.417219926769,True,1.9654724122397624
P0008,D-T008-01,False,320,3138.8371114095053,True,1.9654724122397624
P0008,D-T009-01,False,362,5439.204533691406,True,1.9654724122397624
P0008,D-T010-01,False,264,3795.4669311523435,True,1.9654724122397624
P0008,D-T011-01,False,310,6783.520317382812,True,1.9654724122397624
P0008,D-T014-01,True,215,,True,1.9654724122397624
P0008,D-T015-01,False,400,4563.936444091797,True,1.9654724122397624
P0008,D-T016-01,False,275,8657.740901692707,True,1.9654724122397624
P0008,D-T017-01,False,609,8007.340901692708,True,1.9654724122397624
P0008,D-T018-01,False,207,2265.6252990722655,True,1.9654724122397624
P0008,D-T020-01,False,342,6824.100309010106,True,1.9654724122397624
P0008,D-T021-01,False,401,749.8744852701823,True,1.9654724122397624
P0008,D-T022-01,False,198,744.4939412434896,True,1.9654724122397624
P0008,D-T023-01,False,309,2733.549129231771,True,1.9654724122397624
P0008,D-T024-01,False,316,5562.833085123698,True,1.9654724122397624
P0008,D-T025-01,False,423,4183.522387773448,True,1.9654724122397624
P0009,D-T004-01,False,426,750.5149475097656,True,11.939623795788407
P0009,D-T005-01,False,469,2246.017937011719,True,11.939623795788407
P0009,D-T006-01,True,513,,True,11.939623795788407
P0009,D-T007-01,True,644,,True,11.939623795788407
P0009,D-T008-01,False,320,3138.8371114095053,True,11.939623795788407
P0009,D-T009-01,False,362,5439.204533691406,True,11.939623795788407
P0009,D-T010-01,False,264,3946.8412843290234,True,11.939623795788407
P0009,D-T011-01,False,310,6923.019799924156,True,11.939623795788407
P0009,D-T014-01,True,215,,True,11.939623795788407
P0009,D-T015-01,False,400,4625.936444091797,True,11.939623795788407
P0009,D-T016-01,False,275,8657.740901692707,True,11.939623795788407
P0009,D-T017-01,False,609,8007.340901692708,True,11.939623795788407
P0009,D-T018-01,False,207,2265.6252990722655,True,11.939623795788407
P0009,D-T020-01,False,342,6824.100309010106,True,11.939623795788407
P0009,D-T021-01,False,401,749.8744852701823,True,11.939623795788407
P0009,D-T022-01,False,198,744.4939412434896,True,11.939623795788407
P0009,D-T023-01,False,309,2733.549129231771,True,11.939623795788407
P0009,D-T024-01,True,316,,True,11.939623795788407
P0009,D-T025-01,True,423,,True,11.939623795788407
P0010,D-T004-01,False,426,750.5149475097656,True,1.0990437613485682
P0010,D-T005-01,False,469,2246.017937011719,True,1.0990437613485682
P0010,D-T006-01,True,513,,True,1.0990437613485682
P0010,D-T007-01,True,644,,True,1.0990437613485682
P0010,D-T008-01,False,320,3138.8371114095053,True,1.0990437613485682
P0010,D-T009-01,False,362,5439.204533691406,True,1.0990437613485682
P0010,D-T010-01,False,264,3795.4669311523435,True,1.0990437613485682
P0010,D-T011-01,False,310,6783.520317382812,True,1.0990437613485682
P0010,D-T014-01,True,215,,True,1.0990437613485682
P0010,D-T015-01,False,400,4563.936444091797,True,1.0990437613485682
P0010,D-T016-01,False,275,8657.740901692707,True,1.0990437613485682
P0010,D-T017-01,False,609,8007.340901692708,True,1.0990437613485682
P0010,D-T018-01,False,207,2265.6252990722655,True,1.0990437613485682
P0010,D-T020-01,False,342,6824.100309010106,True,1.0990437613485682
P0010,D-T021-01,False,401,749.8744852701823,True,1.0990437613485682
