trip_id,battery_id,gtype,flight_start_s,flight_end_s,charge_start_s,charge_end_s,soc_after,charge_time_s
T001,BAT-A-06,A,0.0,1325.8757589824106,1325.8757589824106,2192.508647086876,0.7179747014581036,866.6328881044653
T002,BAT-C-04,C,0.0,1512.844762011775,1512.844762011775,3158.821215676607,0.6249339444623851,1645.9764536648322
T003,BAT-C-03,C,1512.9,3025.744762011775,3025.744762011775,4511.704076210021,0.6987880088315785,1485.9593141982466
T004,BAT-A-05,A,0.0,2002.4489262774878,2002.4489262774878,3344.8804812149583,0.3519757269711765,1342.4315549374705
T005,BAT-C-02,C,1429.4,3536.36324234035,3536.36324234035,6021.087656119327,0.23781950133277951,2484.7244137789776
T006,BAT-B-04,B,5092.4,7328.389543126429,7328.389543126429,9155.701731632593,0.33039681432336687,1827.3121885061641
T007,BAT-C-01,C,3025.8,5714.680989049281,5714.680989049281,8277.309520914227,0.2018637545238715,2562.628531864945
T008,BAT-A-04,A,2192.0,4380.52438079403,4380.52438079403,5772.288236672951,0.3140278031700604,1391.7638558789215
T009,BAT-C-03,C,4511.8,6693.63194075176,6693.63194075176,9020.777516799837,0.3105481956701186,2327.1455760480762
T010,BAT-A-03,A,3040.2,4726.769870090339,4726.769870090339,5838.171601040124,0.5296909761924731,1111.4017309497851
T011,BAT-C-02,C,6021.2,7760.070393305345,7760.070393305345,9616.965328648854,0.5275869529183803,1856.8949353435091
T012,BAT-A-04,A,0.0,1313.2085864292808,1313.2085864292808,2191.8995403542476,0.7086992662115639,878.690953924967
T013,BAT-C-01,C,0.0,1429.3381818061853,1429.3381818061853,2892.7854827440206,0.7091781687979222,1463.4473009378353
T014,BAT-A-01,A,1313.3,3040.137700390651,3040.137700390651,4090.131096995131,0.5769281564580923,1049.99339660448
T015,BAT-B-03,B,3794.2,5754.430471734118,5754.430471734118,7708.463481053254,0.257288648469729,1954.0330093191362
T016,BAT-A-01,A,7912.8,9599.085695754882,9599.085695754882,10749.479921542648,0.4996967493940263,1150.394225787766
T017,BAT-B-02,B,7328.4,9612.3086367231,9612.3086367231,11560.297318434861,0.26077576055090756,1947.9886817117604
T018,BAT-B-04,B,1510.0,3060.525368279372,3060.525368279372,4515.989590249282,0.544924487325052,1455.4642219699099
T019,BAT-A-06,A,6694.3,7912.722375105018,7912.722375105018,8744.729256640456,0.7446100911265865,832.0068815354375
T020,BAT-B-01,B,5754.5,7897.40307394233,7897.40307394233,9742.826763364024,0.31994787148748427,1845.423689421694
T021,BAT-B-03,B,0.0,1924.7244397521567,1924.7244397521567,3783.427468054169,0.312286714441147,1858.7030283020122
T022,BAT-B-02,B,0.0,1509.9672145177215,1509.9672145177215,2966.7344167506444,0.5441727679425443,1456.7672022329232
T023,BAT-B-01,B,1924.8,3794.186773175711,3794.186773175711,5387.832821388201,0.4652042029543323,1593.6460482124905
T024,BAT-A-01,A,4726.8,6694.293017486121,6694.293017486121,7907.653337796596,0.4512612920688652,1213.3603203104751
T025,BAT-B-02,B,3060.6,5092.366728332865,5092.366728332865,6743.045117637893,0.4323009292470992,1650.678389305028
