seed,status,runtime_s,WTD,Cmax_s,total_energy_kwh,n_trips,total_operation_time_s,error
20260924,PASS,3.107801500009373,1436094.9837173827,17761.36149600892,113.37703255723693,44.0,73299.18777228965,
20260925,PASS,2.5775262000097428,491437.69967409596,12813.427822427877,107.60322797016207,41.0,69867.17788120094,
20260926,PASS,2.165334299992537,790036.4387084916,14818.997758864341,115.34629194936397,44.0,77674.23927753611,
20260927,PASS,2.5664955000102054,705017.4918843816,13610.699291929717,113.99195361151621,45.0,74326.7767941532,
20260928,PASS,2.226422400010051,709764.2167922497,13892.73400068497,99.46874589241105,35.0,60257.55846887084,
