method,feasible,n_trips,total_energy_kwh,total_operation_time_s,avg_payload_utilization,avg_volume_utilization,max_trip_energy_kwh,min_energy_margin_kwh,solve_time_s
baseline,True,18,64.19668172719314,33054.9112237199,0.7690588621497739,0.699592085235921,6.319243015583748,0.08075698441625256,0.11399316787719727
formal,True,18,59.08291742366984,32804.128230148934,0.8211792089604986,0.7717929984779301,6.149595578174152,0.25040442182584854,43.37947630882263
