sid,gtype,rated_payload_kg,empty_roundtrip_energy_kwh,full_roundtrip_energy_kwh,energy_limit_kwh,empty_trip_feasible,full_load_feasible,roundtrip_energy_nondecreasing,q_max_kg,q_max_ratio,energy_at_qmax_kwh,margin_at_qmax_kwh,qmax_feasible,qmax_boundary_active,qmax_plus_delta_kg,energy_at_qmax_plus_delta_kwh,qmax_plus_delta_infeasible,capacity_status,solver_method,iterations,energy_grid_finite,qmax_plus_delta_check_applicable
S009,B,30.0,1.6836985007245682,2.312828779716148,3.2,True,True,True,30.0,1.0,2.312828779716148,0.887171220283852,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S009,C,80.0,3.566172235288682,5.661244508192367,6.4,True,True,True,80.0,1.0,5.661244508192367,0.7387554918076331,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S010,A,25.0,1.8235516678346797,2.0675480196185805,3.6,True,True,True,25.0,1.0,2.0675480196185805,1.5324519803814196,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S010,B,30.0,1.461041286771977,2.0079530526395604,3.2,True,True,True,30.0,1.0,2.0079530526395604,1.1920469473604398,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S010,C,80.0,3.044592544341855,4.853335670370467,6.4,True,True,True,80.0,1.0,4.853335670370467,1.5466643296295333,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S011,A,25.0,1.0748499668825187,1.216695604591315,3.6,True,True,True,25.0,1.0,1.216695604591315,2.383304395408685,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S011,B,30.0,0.8618718051298363,1.1811088558273823,3.2,True,True,True,30.0,1.0,1.1811088558273823,2.018891144172618,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S011,C,80.0,1.7909017615425193,2.847635200081702,6.4,True,True,True,80.0,1.0,2.847635200081702,3.5523647999182986,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S012,A,25.0,2.769915372912134,3.1293426413633716,3.6,True,True,True,25.0,1.0,3.1293426413633716,0.4706573586366285,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S012,B,30.0,2.2134553324703314,3.0371284268592103,3.2,True,True,True,30.0,1.0,3.0371284268592103,0.16287157314078993,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S012,C,80.0,4.655291997859562,7.392641882107208,6.4,True,False,True,68.19120779633522,0.8523900974541903,6.399999992727791,7.272209501252291e-09,True,True,68.19220779633523,6.400064851094312,True,ENERGY_LIMITED,bisection_monotone_energy,29,True,True
S013,A,25.0,1.8287805336751157,2.0724868635188374,3.6,True,True,True,25.0,1.0,2.0724868635188374,1.5275131364811627,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S013,B,30.0,1.4628027275171451,2.0127515955866633,3.2,True,True,True,30.0,1.0,2.0127515955866633,1.187248404413337,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S013,C,80.0,3.0661143562250426,4.887622989600736,6.4,True,True,True,80.0,1.0,4.887622989600736,1.5123770103992644,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S014,A,25.0,2.1366958298001997,2.4243345670111838,3.6,True,True,True,25.0,1.0,2.4243345670111838,1.1756654329888163,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S014,B,30.0,1.720971550297672,2.354003833052426,3.2,True,True,True,30.0,1.0,2.354003833052426,0.845996166947574,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S014,C,80.0,3.519804132420221,5.604727548276811,6.4,True,True,True,80.0,1.0,5.604727548276811,0.7952724517231893,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S015,A,25.0,2.3042964739647136,2.6163996579285804,3.6,True,True,True,25.0,1.0,2.6163996579285804,0.9836003420714197,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S015,B,30.0,1.8481390710241807,2.541669082158851,3.2,True,True,True,30.0,1.0,2.541669082158851,0.6583309178411492,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
S015,C,80.0,3.837115737263333,6.126295009274548,6.4,True,True,True,80.0,1.0,6.126295009274548,0.2737049907254523,True,True,,,,RATED_CAPACITY,rated_capacity_check,0,True,False
