uid,gtype,n_trips,first_start_s,last_finish_s,busy_time_s,idle_time_s,total_payload_kg,total_energy_kwh
U01,A,1,0.0,2002.4489262774878,2002.4489262774878,0.0,17.0,2.916109228629706
U02,A,1,0.0,2261.7223479131085,2261.7223479131085,0.0,17.0,2.9796937495730127
U03,A,0,0.0,0.0,0.0,0.0,0.0,0.0
U04,A,0,0.0,0.0,0.0,0.0,0.0,0.0
U05,B,4,0.0,6176.013819779412,6176.013819779412,0.0,100.0,7.738470937483625
U06,B,3,0.0,5247.311670352836,5247.311670352836,0.0,75.0,6.264425349209091
U07,C,4,0.0,8647.526646434924,8647.526646434924,0.0,218.0,21.47783656889947
U08,C,5,0.0,8969.73003988684,8969.73003988684,0.0,331.0,18.88267851042124
