任务组,服务区,架次,箱数,质量_kg,运输能耗_kWh,中继能耗_kWh,作业时长_s
1,S001、S005、S009、S011、S012、S013、S014,12,36,338.0,26.024336256603185,2.2753767297706005,18839.561954323835
2,S002、S003、S004、S006、S007、S008、S010、S015,17,44,420.0,56.75217785908851,10.612289454795873,33811.56592257016
