candidate_id,n_groups,state_signature,validator_status,total_resource_units,total_shortage_units,imbalance_ratio,max_group_workload_s,group_workload_range_s,group_service_areas
Q4-3G-08047,3,cd8f51a23adb6246503ff81498e09c363cbc7d0ca24db8fa1e578ae48a66a2be,PASS,53,23,1.591432948036183,34900.04469419134,12970.094873020586,"[[""S001"", ""S002"", ""S006"", ""S010""], [""S003"", ""S005"", ""S007"", ""S012"", ""S013"", ""S014"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011""]]"
Q4-3G-08048,3,b7d159c47bb0c258b800a045db08f2ac0ff9433f4a8c5bb7f22647e87d590de7,PASS,53,23,1.54122811034488,33799.05512284104,11869.105301670286,"[[""S001"", ""S002"", ""S006"", ""S010""], [""S003"", ""S005"", ""S007"", ""S012"", ""S013"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S014""]]"
Q4-3G-08049,3,f5e7c86fb3fe3e57d0dde720621324a130d1872346af834f342a4046285c00b5,PASS,56,26,1.428474293981444,33439.63556418305,10030.298969836585,"[[""S001"", ""S002"", ""S006"", ""S010"", ""S014""], [""S003"", ""S005"", ""S007"", ""S012"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S013""]]"
Q4-3G-08050,3,c22e4c52b7de9d0d14a079963539181202e395573a8c5b6ab65202f86df5e167,PASS,55,25,1.5403627347593374,33780.07747967362,11850.127658502868,"[[""S001"", ""S002"", ""S006"", ""S010""], [""S003"", ""S005"", ""S007"", ""S012"", ""S014"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S013""]]"
Q4-3G-08051,3,763c8db178c595fd1f324016b76de5902e1fc2b165776b20fc32aad4dd951701,PASS,54,24,1.592298323621726,34919.022337358765,12989.072516188011,"[[""S001"", ""S002"", ""S006"", ""S010""], [""S003"", ""S005"", ""S007"", ""S012"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S013"", ""S014""]]"
Q4-3G-08052,3,f739b2dad671729064dc7faac982ea0774bcb804546263d0cff6eadecb6b66af,PASS,54,24,1.380161175923121,33854.392789417485,9325.088980553297,"[[""S001"", ""S002"", ""S006"", ""S010"", ""S013"", ""S014""], [""S003"", ""S005"", ""S007"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S012""]]"
Q4-3G-08053,3,f241fe075508247c6e3e04b9e712560a278e59224617cb34ce56499ccba54a5c,PASS,55,25,1.4687425007647665,33854.392789417485,10804.47575372901,"[[""S001"", ""S002"", ""S006"", ""S010"", ""S013""], [""S003"", ""S005"", ""S007"", ""S014"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S012""]]"
Q4-3G-08054,3,5f5c15e70b3a1479494e96ddcb49e0f46fbc9ed58338bd47be30b511f3695fe2,PASS,53,23,1.5329243705253024,35333.7795625932,12283.862526904722,"[[""S001"", ""S002"", ""S006"", ""S010"", ""S013""], [""S003"", ""S005"", ""S007"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S012"", ""S014""]]"
Q4-3G-08055,3,3d67df6189683376e7f1c10de2926c4a95a64ad1675eb1489e085976269e576a,PASS,54,24,1.4461918924090134,33854.392789417485,10445.056195071018,"[[""S001"", ""S002"", ""S006"", ""S010"", ""S014""], [""S003"", ""S005"", ""S007"", ""S013"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S012""]]"
Q4-3G-08056,3,723d630f29031b030ae7a402a4670784b37086a8b65d0eaa5c0b6b5789e2adb5,PASS,53,23,1.5437514935275913,33854.392789417485,11924.44296824673,"[[""S001"", ""S002"", ""S006"", ""S010""], [""S003"", ""S005"", ""S007"", ""S013"", ""S014"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S012""]]"
Q4-3G-08057,3,32638b14ec4c164c84e2dfa63c2559245aaafea35de6ecdc69d3f576f9acd744,PASS,52,22,1.6112111450653044,35333.7795625932,13403.829741422443,"[[""S001"", ""S002"", ""S006"", ""S010""], [""S003"", ""S005"", ""S007"", ""S013"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S012"", ""S014""]]"
Q4-3G-08058,3,05e9c47a694c56576d5c35b7c591d9af0afcce61d9c01314ab3a747f276d0c99,PASS,54,24,1.4940346499345813,34974.36000393521,11565.023409588743,"[[""S001"", ""S002"", ""S006"", ""S010"", ""S014""], [""S003"", ""S005"", ""S007"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S012"", ""S013""]]"
Q4-3G-08059,3,4cda051548f6f0bad7f1f8048b6605a0396d6e97894b898fb14428910dc99e51,PASS,54,24,1.5948217068044375,34974.36000393521,13044.410182764455,"[[""S001"", ""S002"", ""S006"", ""S010""], [""S003"", ""S005"", ""S007"", ""S014"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S012"", ""S013""]]"
Q4-3G-08060,3,922815e182b5be7f63c7b81d3cb5782657f092807495b60723d33bd3c162a884,PASS,52,22,1.6622813583421505,36453.74677711092,14523.796955940168,"[[""S001"", ""S002"", ""S006"", ""S010""], [""S003"", ""S005"", ""S007"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S012"", ""S013"", ""S014""]]"
Q4-3G-08061,3,726c2e0367912b9bdcc8adcd3cc3e1db5ad011539024935a0697ffe25e194496,PASS,54,24,1.282008068842126,31926.491635025122,7022.988754688151,"[[""S001"", ""S002"", ""S006"", ""S012"", ""S013"", ""S014""], [""S003"", ""S005"", ""S007"", ""S010"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011""]]"
Q4-3G-08062,3,67d0fc700a86f399fcc91585151fd237a41c4ee44407fda94e85eaccb58f9b53,PASS,54,24,1.426131865782032,33405.878408200835,9981.762301039576,"[[""S001"", ""S002"", ""S006"", ""S012"", ""S013""], [""S003"", ""S005"", ""S007"", ""S010"", ""S014"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011""]]"
Q4-3G-08063,3,d718fed3710c127d7447ba95f2839fe5a29a7df8aafd88b0e31d42c8603e51d6,PASS,54,24,1.4429169906867025,33799.05512284104,10374.939015679782,"[[""S001"", ""S002"", ""S006"", ""S012"", ""S013""], [""S003"", ""S005"", ""S007"", ""S010"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S014""]]"
Q4-3G-08064,3,8b1eaba904ac0bfb062f4032d337c88af32d0d9a5b792ca177072d1f3d0adf9b,PASS,53,23,1.3894678786987882,33046.45884954285,9262.923183723597,"[[""S001"", ""S002"", ""S006"", ""S012"", ""S014""], [""S003"", ""S005"", ""S007"", ""S010"", ""S013"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011""]]"
Q4-3G-08065,3,52163ca91af850dc277266a9f5f496b42271c753fc80355be62cb8f217126e91,PASS,52,22,1.5479562026285625,34525.84562271855,12221.696730075011,"[[""S001"", ""S002"", ""S006"", ""S012""], [""S003"", ""S005"", ""S007"", ""S010"", ""S013"", ""S014"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011""]]"
Q4-3G-08066,3,d8046c9ab0398ea2893454cde26a71c3042f71fade17565d47b4b04753a98e8d,PASS,52,22,1.5153707628803,33799.05512284104,11494.9062301975,"[[""S001"", ""S002"", ""S006"", ""S012""], [""S003"", ""S005"", ""S007"", ""S010"", ""S013"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S014""]]"
Q4-3G-08067,3,223962cc6f7e8fdd60777b9be5d7d41ca3d4bc3afa330890329c5c69b6dafdd8,PASS,55,25,1.4059993448426242,33439.63556418305,9656.099898363802,"[[""S001"", ""S002"", ""S006"", ""S012"", ""S014""], [""S003"", ""S005"", ""S007"", ""S010"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S013""]]"
Q4-3G-08068,3,0a9dbd8875eb41efea34e0b7785493a2555cdcee6a6777ae53f4a431ae2870fa,PASS,54,24,1.4992562919633428,33439.63556418305,11135.486671539511,"[[""S001"", ""S002"", ""S006"", ""S012""], [""S003"", ""S005"", ""S007"", ""S010"", ""S014"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S013""]]"
Q4-3G-08069,3,b24cc8b82906001ee4b031000f6bf1d8819761b0c89f3580adfbbed919359c75,PASS,53,23,1.5655841657726701,34919.022337358765,12614.873444715224,"[[""S001"", ""S002"", ""S006"", ""S012""], [""S003"", ""S005"", ""S007"", ""S010"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S013"", ""S014""]]"
Q4-3G-08070,3,61de87d13a15566ebbd0e616b217d49c0b5829537dc3b336b9b305a7fea04a57,PASS,53,23,1.4318769874879218,33461.21607477728,10092.437634192465,"[[""S001"", ""S002"", ""S006"", ""S013"", ""S014""], [""S003"", ""S005"", ""S007"", ""S010"", ""S012"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011""]]"
Q4-3G-08071,3,0ca5e998c3d02d66724a0a30f9ddf481dd063808ae7d9d6df9bf5427f33356ad,PASS,53,23,1.5962345312672948,34940.60284795299,13051.21118054389,"[[""S001"", ""S002"", ""S006"", ""S013""], [""S003"", ""S005"", ""S007"", ""S010"", ""S012"", ""S014"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011""]]"
Q4-3G-08072,3,42596820027da834b04e65777826140c04d190984c62f7340a05f5cc692550cd,PASS,53,23,1.544083802619518,33799.05512284104,11909.663455431939,"[[""S001"", ""S002"", ""S006"", ""S013""], [""S003"", ""S005"", ""S007"", ""S010"", ""S012"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S014""]]"
Q4-3G-08073,3,f0d9802e4a4e435d477a0a265e0a9083580d7f82c3ebe0ad68eff5a3466d1bc8,PASS,52,22,1.5542935277719059,34581.183289295004,12332.372063227911,"[[""S001"", ""S002"", ""S006"", ""S014""], [""S003"", ""S005"", ""S007"", ""S010"", ""S012"", ""S013"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011""]]"
Q4-3G-08074,3,90ae837afcc1b20bd0304e8a366a3cac05f0e7cbeecdfecd57ca18575772efeb,PASS,50,20,2.102883771427074,36060.57006247071,18912.418294672803,"[[""S001"", ""S002"", ""S006""], [""S003"", ""S005"", ""S007"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011""]]"
Q4-3G-08075,3,00ba581af5f522b966474f50713b831b26ac2777d027717eab2771f3c51e41fd,PASS,50,20,2.016612854700421,34581.183289295004,17433.031521497098,"[[""S001"", ""S002"", ""S006""], [""S003"", ""S005"", ""S007"", ""S010"", ""S012"", ""S013"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S014""]]"
Q4-3G-08076,3,20b5829c380a342d943c7023f42b1c9dc2c83a971ec5aa4267741d6dae71d635,PASS,54,24,1.503955233148526,33461.21607477728,11212.404848710186,"[[""S001"", ""S002"", ""S006"", ""S014""], [""S003"", ""S005"", ""S007"", ""S010"", ""S012"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S013""]]"
Q4-3G-08077,3,631e1952980da628a102e3c5c114051f89097bbec4592066ef85a258096b22ef,PASS,52,22,2.0375725221634142,34940.60284795299,17792.451080155086,"[[""S001"", ""S002"", ""S006""], [""S003"", ""S005"", ""S007"", ""S010"", ""S012"", ""S014"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S013""]]"
Q4-3G-08078,3,b93b0416f18cc10442d50c521220311512cf25ae4cdd87a0ece5a113054ef6d0,PASS,51,21,2.0363140477291752,34919.022337358765,17770.87056956086,"[[""S001"", ""S002"", ""S006""], [""S003"", ""S005"", ""S007"", ""S010"", ""S012"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S013"", ""S014""]]"
Q4-3G-08079,3,b2d3cbd2a899b9738f4f07e4fe04a79850d37ea9fc7e03759ab3cdbbdf7929cd,PASS,53,23,1.4487018598551213,33854.392789417485,10485.61434883267,"[[""S001"", ""S002"", ""S006"", ""S013"", ""S014""], [""S003"", ""S005"", ""S007"", ""S010"", ""S015""], [""S004"", ""S008"", ""S009"", ""S011"", ""S012""]]"
