任务组,服务区,架次,箱数,质量_kg,运输能耗_kWh,中继能耗_kWh,作业时长_s
1,S002、S005、S009、S013,8,20,190.0,21.480813876604824,3.1232996288815054,13203.641558458416
2,S003、S006、S007、S010、S015,8,25,235.0,26.806092952073314,4.709188533808416,16271.522360412908
3,S001、S004、S008、S011、S012、S014,13,35,333.0,34.489607287013555,5.906539183773167,23175.963958022676
