任务组数,迭代,目标值,资源缺口,总资源需求,通信风险均衡系数,工作量均衡系数
2,1,3007109.5738383043,3,27,0.19700624104804682,0.04394490173429938
2,2,3007933.179518631,3,27,0.07989158809634914,0.3605347756704502
2,4,2005273.5619358774,2,27,0.07989158809634914,0.09457301739505046
2,5,1017030.3841769391,1,25,0.5558097319382798,0.3384189538173539
2,6,1017030.3841769391,1,25,0.5558097319382798,0.3384189538173539
2,7,1017030.3841769391,1,25,0.5558097319382798,0.3384189538173539
2,8,1007349.2187834774,1,25,0.18372827402549768,0.1144653302967426
2,10,1006754.4260661277,1,25,0.18372827402549768,0.05498605856177424
2,11,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,12,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,14,6556.015737759785,0,23,0.18372827402549768,0.05514502572498312
2,16,6556.015737759785,0,23,0.18372827402549768,0.05514502572498312
2,19,6556.015737759785,0,23,0.18372827402549768,0.05514502572498312
2,20,6556.015737759785,0,23,0.18372827402549768,0.05514502572498312
2,21,6556.015737759785,0,23,0.18372827402549768,0.05514502572498312
2,24,7147.629111845291,0,23,0.18372827402549768,0.11430636313353372
2,26,7147.629111845291,0,23,0.18372827402549768,0.11430636313353372
2,28,7147.629111845291,0,23,0.18372827402549768,0.11430636313353372
2,29,7147.629111845291,0,23,0.18372827402549768,0.11430636313353372
2,31,7147.629111845291,0,23,0.18372827402549768,0.11430636313353372
2,32,7147.629111845291,0,23,0.18372827402549768,0.11430636313353372
2,33,6556.015737759785,0,23,0.18372827402549768,0.05514502572498312
2,36,6556.015737759785,0,23,0.18372827402549768,0.05514502572498312
2,38,6556.015737759785,0,23,0.18372827402549768,0.05514502572498312
2,40,6556.015737759785,0,23,0.18372827402549768,0.05514502572498312
2,42,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,45,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,46,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,48,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,49,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,53,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,54,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,56,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,58,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,60,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,62,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,63,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,64,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,66,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,67,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,68,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,69,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,71,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,72,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,73,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,74,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,75,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,76,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,77,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,80,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,83,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,84,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,85,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,86,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,87,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,88,7195.677617044391,0,24,0.18372827402549768,0.1091112136534437
2,89,7195.677617044391,0,24,0.18372827402549768,0.1091112136534437
2,91,7195.677617044391,0,24,0.18372827402549768,0.1091112136534437
2,94,7195.677617044391,0,24,0.18372827402549768,0.1091112136534437
2,95,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,96,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,97,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,99,6707.967232560685,0,24,0.18372827402549768,0.060340175205073156
2,100,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,101,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,104,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,105,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,107,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,108,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,111,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,112,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
