任务组,服务区,架次,箱数,质量_kg,运输能耗_kWh,中继能耗_kWh,作业时长_s
1,S002、S003、S005、S006、S007、S015,13,36,350.0,42.55098534772418,6.144078329627513,24858.556562106503
2,S001、S004、S008、S009、S010、S011、S012、S013、S014,16,44,408.0,40.22552876796751,7.5949490168355736,27792.5713147875
